"Finalmente.","Finally.","Por fin."
"E isso é... não é tudo o que farei! Tá me ouvindo!?","And that's...that's not all I'll do! You hear me!?","¡Y no quedará ahí la cosa! ¡¿Me oyes?!"
"Vou persegui-lo até o fim dos tempos, e vou trazê-lo de volta para nós!","I'll chase you to the end of time, and I'll bring you back to us!","¡Iré a buscarte hasta el final de los tiempos y te traeré de vuelta con nosotros!"
"Então Weiss, por favor! Por favor, volte!","So Weiss, please! Please come back!","¡Por favor, Weiss! ¡Por favor, vuelve!"
"Droga, precisamos detê-lo!","Dammit, we need to stop him!","Maldita sea, ¡hay que detenerlo!"
"Se não fizermos nada, esse livro preto absorverá Weiss!","If we don't do something, that black book will absorb Weiss!","¡Si no hacemos algo, ese libro negro absorberá a Weiss!"
"Preto... branco... preto... bran... co?","Black... White... Black... Whi...te?","¿Negro... Blanco... Negro... Blan... co?"
"Sim! Agora vamos nos unir por um propósito em comum!","Yes! Now we shall unite in common purpose!","¡Sí! ¡Ahora nos fundiremos en un objetivo común!"
"Então, o mundo finalmente poderá testemunhar nosso verdadeiro poder!","Then the world can finally bear witness to our true power!","¡Y el mundo será al fin testigo de nuestro verdadero poder!"
"Weiss!","Weiss!","¡Weiss!"
"Weiss!","Weiss!","¡Weiss!"
"Wei... ss...","Wei...ss...","Wei... ss..."
"Nós... Temos que...","We....we've got to...","Tenemos... Tenemos que..."
,,
"Pela última vez...","For the last time...","Por última vez..."
"Meu nome é Grimório Weiss, e não deve ser abreviado!","My name is Grimoire Weiss, and it is NOT to be abbreviated!","Me llamo Grimoire Weiss, ¡nada de abreviaturas!"
"Weiss!","Weiss!","¡Weiss!"
"Weiss!","Weiss!","¡Weiss!"
"É bom te ver, Kainé.<LF>Embora não ache que alguém já tenha me acusado de ser uma putinha antes.","Good to see you, Kainé.<LF>Although I don't think anyone has ever accused me of being a little bitch before.","Me alegro de verte, Kainé. Aunque creo que es la primera vez que alguien me llama mierdecilla."
,,
"E você. Nos encontramos de novo!","And you. We meet again!","Y tú. ¡Volvemos a encontrarnos!"
"Weiss... você está bem?","Weiss... You okay?","Weiss... ¿Estás bien?"
"Acredito que poderia te fazer a mesma pergunta, agora.","I believe I could ask you the same question right now.","Podría preguntarte lo mismo."
"Impossível...","Impossible...","No puede ser..."
"Devemos nos unir! Devemos nos tornar como um!","We must unite! We must become as one!","¡Debemos fundirnos! ¡Convertirnos en una sola entidad!"
"Eu não gosto de você... e não quero ter nada a ver com você!","I don't like you... And I want nothing to do with you!","No me caes bien... ¡Y no quiero tener nada que ver contigo!"
"Além disso, tenho meus companheiros.","Besides, I have my companions.","Además, ya tengo compañeros."
"Claro, eles são fracos, e lamentam quando vou embora...","Of course, they're weak, and they whine when I leave...","Sí, son débiles y lloriquean cuando me marcho..."
"É quase demais para lidar...","It's almost too much trouble...","Me dan la lata como al que más..."
"Mas eles são meus amigos!","But they are my friends!","¡Pero son mis amigos!"
"Vou lutar ao lado deles. Agora e sempre!","I shall fight by their side. Now...and forever!","¡Y lucharé junto a ellos! ¡Ahora... y siempre!"
"Weiss, obrigado.","Weiss, thanks.","Gracias, Weiss."
