"Cui...dado...","Be...ware...","Ten... cuidado..."
"Nas últimas semanas, uma doença misteriosa chamada de Sonho da Morte se espalhou pela Floresta dos Mitos. Aqueles que a contraíram foram amaldiçoados a adormecer e viver para sempre dentro de seus próprios sonhos. <STOP> O prefeito da aldeia determinou que o Sonho da Morte era transmitido de pessoa para pessoa por palavras faladas, mas antes que pudesse aprender mais, a doença também o acometeu.","In the past weeks, a mysterious disease called the Deathdream had spread across the Forest of Myth. Those who caught it were cursed to fall asleep and live forever within the world of their own dreams. <STOP>The village mayor had determined the Deathdream was spread from person to person by spoken words, but before he could learn more, the disease took him as well.","Hace unas semanas, una enfermedad llamada ""sueño mortal"" se esparció por el Bosque de las Leyendas. Los afectados están destinados a dormir y vivir para siempre en el mundo de sus propios sueños. <STOP>El alcalde de la aldea cree firmemente que el sueño mortal se ha ido esparciendo por el boca a boca entre personas, pero antes de que consiguiera averiguar más, él también enfermó."
"Weiss olhou fixamente para o prefeito, e sua boca tremia levemente.","Weiss stared at the mayor, his mouth twitching slightly.","Weiss observó al alcalde, que movía la boca levemente."
"""Agora veja bem"", disse ele, ""você está dizendo que fomos absorvidos pelo seu sonho?""","""Now see here,"" he said, ""are you saying that we have been absorbed into your dream?""","""Vamos a ver"", empezó, ""¿dices que estamos atrapados en tu sueño?""."
"""Bem... sim"", disse o prefeito. ""Eu acho que sim.""","""Well...yes,"" said the mayor. ""I think you have.""","""Eh, bueno... sí"", asintió el alcalde, ""eso creo""."
"""Em outras palavras"", disse <NIER>, ""contraímos o Sonho da Morte?""","""In other words,"" said <NIER>, ""we've caught the Deathdream?""","""En otras palabras"", replicó <NIER>, ""¿estamos afectados por el sueño mortal?""."
"Antes que o prefeito pudesse confirmar a suspeita de <NIER>, Weiss explodiu em raiva.","Before the mayor could confirm <NIER>'s suspicion, Weiss exploded with rage.","Antes de que el alcalde pudiera confirmar las sospechas de <NIER>, Weiss saltó enrabietado."
"""Ridículo! Absurdo! Completamente inaceitável em todos os níveis concebíveis! Nem me lembro de ter adormecido!""","""Ridiculous! Preposterous! Completely unfathomable on every conceivable level! I don't even recall falling asleep!""","""¡Esto es ridículo! ¡Absurdo! Un absoluto sinsentido a todos los niveles posibles. ¡Ni siquiera recuerdo haberme quedado dormido!""."
"""É assim que o Sonho da Morte funciona.""","""That's just how the Deathdream works.""","El alcalde trató de tomarse con filosofía las palabras de Weiss."
"Embora educado, o prefeito estava claramente tentando ignorar as observações do livro.","Though polite, the mayor was clearly trying to brush aside the book's remarks.","""Así es como funciona el sueño mortal"", aseguró obviando los comentarios del libro."
"""Minhas observações não devem ser ignoradas, tolo!""<PAGE>","""My remarks are not to be brushed aside, fool!""<PAGE>","""¡Nadie obvia mis comentarios, idiota!"".<PAGE>"
"O prefeito torceu a boca em uma careta constrangida e rapidamente mudou de assunto sobre quem <NIER> tinha encontrado—e sobre o que teriam discutido—desde que chegaram à vila.","The mayor twisted his mouth into an embarrassed grimace, then quickly changed the subject to who <NIER> had seen—and what they had discussed—since coming to the village.","El alcalde esbozó un gesto de vergüenza y cambió rápidamente de tema. Entonces le preguntó a <NIER> a quién había visto y de qué habían hablado desde su llegada a la aldea."
"""Alguma coisa deve ter feito você entrar no meu sonho"", disse o prefeito. ""Alguma conversa, uma palavra específica ... Algo do tipo!""","""Something there must have caused you to enter my dream,"" said the mayor. ""A certain conversation, a specific word... Something!""","""Alguna de vuestras acciones debe haberos hecho entrar en mi sueño"", aseguró el alcalde, ""una conversación, alguna palabra concreta... ¡algo!""."
"<NIER> e Weiss pensaram muito, mas não conseguiram encontrar soluções fáceis. Havia simplesmente muitas palavras a se considerar; muita conversa aleatória; muitas conversas sem sentido.<PAGE>","<NIER> and Weiss racked their brains, but could find no easy solutions. There were simply too many words to consider; too much random chatter; too many meaningless conversations.<PAGE>","<NIER> y Weiss se devanaron los sesos sin éxito. Había demasiadas palabras que tener en consideración, demasiado parloteo aislado, demasiadas conversaciones carentes de significado.<PAGE>"
"""Grimório Weiss não se envolve em conversas sem sentido!""","""Grimoire Weiss does not engage in meaningless conversations!""","""¡Grimoire Weiss no mantiene conversaciones carentes de significado!""."
"A mera ideia de que Weiss teria escolhido suas palavras de maneira descuidada parece ter ferido seu orgulho.","The mere suggestion that Weiss chose his words carelessly seemed to sting his pride.","Parece que a Weiss le hirió el orgullo la idea de que escogía las palabras sin pensar demasiado."
"""Não 'parece' ferir meu orgulho, narradorzinho mixuruca! <STOP>O feriu completamente!""","""It does not 'seem' to sting my pride, you bloated gasbag of a narrator! <STOP>It has demolished it utterly!""","""¡Nada de 'parece' que me hirió el orgullo, pedazo de cotorra, me lo ha roto en mil pedazos!""."
"Irritado, Weiss olhou para cima, como se procurasse respostas nos céus.","Irritated, Weiss looked skyward, as if searching for answers in the heavens.","Irritado, Weiss alzó la vista al cielo, como si buscara una respuesta de los astros."
"""Eu não estava fazendo nada disso! <STOP>Deixe-me em paz agora mesmo!""","""I was doing no such thing! <STOP>Just leave me alone already!""","""¡No he hecho nada de eso! ¡Haz el favor de dejarme en paz!""."
"A raiva gerada por suas duras palavras transbordou para <NIER> de maneira contagiosa.","The anger created by his harsh words bled over to <NIER> like a contagion.","La rabia que generaron sus crudas palabras se esparció hacia <NIER> como un contagio."
"""Espera"", disse <NIER> de repente. ""Alguém disse contágio?""","""Wait,"" said <NIER> suddenly.  ""Did someone just say contagion?""","""Espera"", dijo <NIER> de repente, ""¿Alguien ha dicho 'contagio'?""."
"""Sim, acredito que sim. E daí?""","""Yes, I believe so. What of it?""","""Sí, así es. ¿Qué sucede?""."
"""Bem, aquele aldeão nos disse para tomarmos cuidado com palavras contagiosas, certo?""","""Well, that villager told us to watch out for contagious words, right?""","""El aldeano nos dijo que nos fijáramos en las palabras contagiosas, ¿no?""."
"O prefeito se inclinou com motivação renovada, ignorando Weiss que parecia assustado com tudo aquilo.","The mayor leaned forward with renewed interest, pushing a startled Weiss aside in the process.","El alcalde se inclinó hacia adelante, recobrando el interés y empujando a un sorprendido Weiss a un lado."
"""Ele deve ter dito <FONT=ITALIC>algo,</FONT> certo?"" perguntou o prefeito. ""Alguma combinação específica de palavras? Quais palavras seriam?""<PAGE>","""He must have said <FONT=ITALIC>something,</FONT> right?"" asked the mayor. ""Some specific combination of words? What was it?""<PAGE>","""Tiene que haber dicho <FONT=ITALIC>algo,</FONT> ¿verdad?"", preguntó el alcalde, ""una combinación de palabras concreta. ¿Cuál puede ser?"".<PAGE>"
"""Era algo sobre sonhar, ou algo que sonha, ou...<LF>Oh, o que será que era?""","""It was about dreaming, or something that dreams, or...<LF>Oh, what the hell was it?""","""Hemos hablado sobre soñar o sobre los sueños...<LF>Ah, ¿qué puede haber sido?""."
"""Uma ovelha!?"" gritou Weiss de repente, dizendo a primeira coisa que lhe veio à cabeça.","""A sheep!?"" cried Weiss suddenly, blurting out the first thing that popped into this head. ","""¡¿Una oveja?!"", gritó de pronto Weiss, dejando escapar la primera cosa que se le pasó por la cabeza. "
"Os outros o encararam por um momento antes de acenarem lentamente com suas cabeças. <STOP>Depois de mais alguns minutos de reflexão, o rosto de <NIER> iluminou-se repentinamente.","The others stared at him for a moment before slowly shaking their heads. <STOP>After a few more minutes of thought, <NIER>'s face suddenly lit up.","Los demás lo observaron un instante antes de negar lentamente con la cabeza. <STOP>Tras unos minutos de reflexión, a <NIER> se le iluminó el rostro."
"""Eu me lembro!"" ele disse. ""'Aqueles que sonham.' Foi isso que ele disse—tenho certeza disso.""","""I remember!"" he said. ""'Those who dream.' That's what he said—I'm sure of it.""","""¡Ya me acuerdo!"", empezó, ""'Los que sueñan', eso dijo, estoy seguro""."
"Com isso, o prefeito tirou uma pilha grossa de papéis do bolso. Ele folheou-os algumas vezes antes de finalmente acenar com a cabeça para <NIER>.<PAGE>","At this, the mayor produced a thick sheaf of papers from his pocket. He flipped through them a few times before finally nodding his approval at <NIER>.<PAGE>","El alcalde reaccionó sacando un taco de papeles de un bolsillo. Los ojeó varias veces hasta que asintió convencido mirando a <NIER>.<PAGE>"
"""Acho que está certo"", disse ele, enquanto uma folha solta de papel flutuava até o chão. ""Minhas anotações também mencionam algo sobre isso. Aposto que foi a última coisa que você ouviu antes de adormecer.""","""That sounds right,"" he said, as a stray sheet of paper fluttered to the ground. ""My notes also mention something about that. I bet it was the last thing you heard before you fell asleep.""","""Parece que estás en lo cierto"", respondió mientras un solitario folio ondeaba hacia el suelo. ""Mis notas también lo mencionan. Seguro que es lo último que oímos antes de quedarnos dormidos""."
"O prefeito balançou a cabeça, seu lápis gasto traçava linhas através de uma folha de papel solitária.<PAGE>","The mayor shook his head, his worn pencil stub tracing lines across a lone piece of paper.<PAGE>","El alcalde sacudía la cabeza mientras la punta gastada de su lapicero trazaba líneas a lo largo y ancho de un folio.<PAGE>"
"""Nos últimos meses, eu não fiz nada além de estudar a doença que chamamos de Sonho da Morte"", ele disse. <STOP><LF>""Afinal eu sou o prefeito, certo? É meu trabalho proteger as pessoas do que possa acontecer.<LF>Mas não esperava que alguns visitantes começassem a entrar nos sonhos das pessoas."" <STOP><LF>O prefeito parou, fazendo uma careta. ""Eu deveria estar anotando algo.""<PAGE>","""For the last month, I've done nothing but study the disease we call the Deathdream,"" he said. <STOP><LF>""I mean, I'm the mayor, right? It's my job to protect people from whatever comes along.<LF>But I never expected a couple of outsiders to start entering people's dreams."" <STOP><LF>The mayor paused, a grimace crossing his face. ""I should probably be taking notes or something.""<PAGE>","""Durante el último mes no he hecho más que estudiar la enfermedad que denominamos sueño mortal"", empezó. <STOP>""A fin de cuentas, soy el alcalde. Mi labor consiste en proteger a mi pueblo, pero no esperaba que un par de extranjeros quedaran atrapados en los sueños de mi gente"". <STOP>El alcalde se detuvo con una mueca en el rostro. ""Tengo que coger apuntes"".<PAGE>"
"Weiss imediatamente retrucou.","Weiss immediately fired back.","Weiss respondió de inmediato."
"""Aplaudo essa sua força de vontade para pesquisar uma doença dentro dos sonhos"", ele disse. ""Mas talvez devêssemos usar seus esforços para escapar deste lugar ao invés de tentar entendê-lo.""","""I applaud the force of will it takes to research a disease in your dreams,"" he said, ""but perhaps we should bend your efforts to escaping this place instead of trying to understand it.""","""Admiro la fuerza de voluntad que requiere investigar una enfermedad en tus sueños"", dijo, ""pero quizá deberíamos intentar salir de este lugar en vez de tratar de entenderlo""."
"A mão do prefeito apertou o lápis, quebrando a ponta. <PAGE>","The mayor's hand tightened around his pencil, snapping off the tip.<PAGE>","El alcalde tensó la mano alrededor del lapicero y la punta se partió.<PAGE>"
"""Eu tentei escapar. <STOP>Desde o primeiro momento em que percebi que estava preso no meu próprio sonho, tenho procurado uma saída ... mas temo que ela não exista. <STOP>Quero dizer, este é <FONT=ITALIC>o meu</FONT> sonho, certo? Se houvesse uma saída, eu saberia.""","""I've tried to escape. <STOP>From the very first moment I realized I was locked inside my own dream, I've been looking for a way out...but I don't think it exists. <STOP>I mean, this is <FONT=ITALIC>my</FONT> dream, right? If there was an exit, I'd know about it.""","""He intentado escapar. <STOP>Desde el instante en que me di cuenta de que estaba preso en mi propio sueño, he estado tratando de huir... pero dudo que sea posible. <STOP>Es decir, este es <FONT=ITALIC>mi</FONT> sueño, ¿no? Si hubiera un modo de salir, tendría que conocerlo""."
"Ele pausou por um momento, e seus olhos sem foco olhavam para o nada.<PAGE>","He paused for a moment, his unfocused eyes staring at nothing.<PAGE>","Entonces, se detuvo con los ojos perdidos en la nada.<PAGE>"
"""Minha aldeia era bonita"", ele disse para ninguém em particular. ""E estava cheia das pessoas mais maravilhosas que você poderia conhecer. <STOP>Mas assim que essa doença se instalou, as coisas ... mudaram. É como se alguém tivesse pego uma esponja e sugado toda a cor de nossas vidas. <STOP>Só quero que voltemos ao normal novamente. Quero que sejamos livres. <STOP>E não vou parar de tentar até que aconteça.""","""My village was beautiful,"" he said to no one in particular. ""And it was filled with the most wonderful people you could ever hope to meet. <STOP>But once this disease took hold, things...changed. It's like someone took a sponge and soaked all the color out of our lives. <STOP>I just want us to be whole again. I want us to be free. <STOP>And I won't stop trying until it happens.""","""Mi aldea era preciosa"", empezó sin dirigirse a nadie en particular, ""mis vecinos, los más maravillosos que uno podía desear. <STOP>Pero cuando la enfermedad se desató, las cosas... cambiaron. Como si alguien hubiera cogido una esponja y se hubiera llevado con ella el color de nuestras vidas. <STOP>Solo quiero que volvamos a estar unidos, que volvamos a ser libres. <STOP>Y no me detendré hasta conseguirlo""."
"<NIER> concordou com a cabeça.","<NIER> nodded in agreement.","<NIER> asintió."
"""Hein? Espere um segundo, eu não concordei...?""","""Huh? Wait a second, I didn't nod...?""","""¿Eh? Un momento, ¿yo no he asentido...?""."
"""Olhe. Se pudermos ajudar em algo,"" disse <NIER>, ""é só pedir.""","""Look. If we can be of any help,"" said <NIER>, ""just ask.""","""Mira, si podemos ayudarte de alguna forma..."", dijo <NIER>, ""tan solo pídenoslo""."
"""Agora espere aí! Eu <FONT=ITALIC>não</FONT> disse isso!""<PAGE>","""Now hold on! I did <FONT=ITALIC>not</FONT> just say that!""<PAGE>","""¡Un momento! ¡Yo <FONT=ITALIC>no</FONT> he dicho nada de eso!"".<PAGE>"
"""Silêncio!"" gritou Weiss.","""Silence!"" cried Weiss.","""¡Silencio!"", gritó Weiss."
"O grimório desviou o olhar de <NIER> para o prefeito e de volta para ele novamente, e seu rosto se encheu de confiança.","The grimoire looked from <NIER> to the mayor and back again, his face filling with confidence.","Grimoire miró a <NIER>, luego al alcalde, y otra vez al primero con rostro confiado."
"""O rosto do Grimório Weiss está sempre confiante, muito obrigado! <STOP>Agora veja bem, Prefeito. Você nos disse que nada pode existir neste sonho sem que você saiba disso. <STOP>Mas ainda assim, você parecia surpreso ao nos ver quando chegamos pela primeira vez, sim?""<PAGE>","""Grimoire Weiss's face is always confident, thank you very much! <STOP>Now see here, Mayor. You told us that nothing can exist in this dream without your knowing of it. <STOP>But yet you seemed surprised to see us when we first arrived, yes?""<PAGE>","""El rostro de Grimoire Weiss siempre muestra confianza, ¡gracias! <STOP>A ver, alcalde. Nos dijiste que nadie puede escapar de este sueño hasta donde tú sabes. <STOP>Pero te sorprendiste al vernos llegar, ¿no es así?"".<PAGE>"
"O prefeito lentamente levantou a cabeça, a realização surgindo em seu rosto.","The mayor slowly raised his head, realization dawning on his face.","El alcalde alzó lentamente la cabeza y empezó a comprenderlo todo."
"""Meu Deus"", ele disse. ""Você está certo. Você está <FONT=ITALIC>certo!</FONT> Eu não fazia ideia de que vocês estavam vindo!""","""Oh my god,"" he said. ""You're right. You're <FONT=ITALIC>right!</FONT> I had no idea you were coming!""","""¡Madre mía!"", empezó, ""¡Tienes razón, tienes <FONT=ITALIC>razón</FONT>! ¡No tenía ni idea de que ibais a venir!""."
"""A imaginação humana é um motor ilimitado"", disse Weiss, ""e os sonhos são o combustível. Se você pode imaginar uma saída, então ela deve existir. <STOP>Com a sua permissão, vamos encontrá-la.""","""The human imagination is a limitless engine,"" said Weiss, ""and dreams are the fuel. If you can imagine an exit, then it must be so. <STOP>With your permission, we shall search it out.""","""La imaginación humana es un motor ilimitado"", aseguró Weiss, ""y los sueños son su combustible. Si eres capaz de imaginar una salida, esta aparecerá. <STOP>Con tu permiso, vamos a buscarla""."
"""Obrigado"", disse o prefeito. ""Não sei como posso recompensá-los.""","""Thank you,"" said the mayor. ""I don't know how I can repay you.""","""Os lo agradezco"", dijo el alcalde, ""no sé cómo compensaros por esto""."
"""Não é necessário pagamento. Estamos tão impacientes quanto você para acabar com este lugar.""","""Payment is not required. We are as eager as you to be done with this place.""","""Descuida, estamos deseando salir de aquí lo antes posible""."
"De repente, o prefeito sentiu como se pudesse respirar novamente. Ele quase havia esquecido como era.","The mayor suddenly felt as if he could breathe again. He'd almost forgotten what it was like.","El alcalde empezó a sentir que podía respirar nuevamente. Casi había olvidado esa sensación."
"""Boa sorte para vocês dois!"" ele gritou ao ver as formas de <NIER> e Weiss partindo. ""Estamos todos contando com vocês!""<PAGE>","""Good luck, you two!"" he called at the departing forms of <NIER> and Weiss. ""We're all counting on you!""<PAGE>","""¡Mucha suerte a los dos!"", les deseó a <NIER> y Weiss en la distancia. ""¡Confiamos todos en vosotros!"".<PAGE>"
"Enquanto <NIER> desaparecia lentamente na névoa da floresta, o prefeito foi atingido por uma sensação de déjà vu.","As <NIER> slowly faded into the misty forest, the mayor was struck by a sense of déjà vu. ","La imagen de <NIER> desvaneciéndose lentamente en el bosque dejó una sensación de <FONT=ITALIC>déjà vu</FONT> en el alcalde. "
"<FONT=ITALIC>Já vi esse homem antes,</FONT> pensou. <FONT=ITALIC>Mas onde...?</FONT>","<FONT=ITALIC>I saw this man once before,</FONT> he thought. <FONT=ITALIC>But where...?</FONT>","<FONT=ITALIC>Ya había visto a este hombre antes,</FONT> pensó, <FONT=ITALIC>pero ¿dónde?...</FONT>"
"O humor de <NIER> mudou enquanto ele caminhava pela floresta. <STOP> Horas antes, quando a beleza do lugar ainda era novidade, ele estava confiante de que conseguiriam entrar, encontrar a saída e chegar em casa a tempo para o jantar.","<NIER>'s mood darkened as he trudged through the forest. <STOP>Hours earlier, when the beauty of the place was still a new thing, he'd been confident they could get in, find the exit, and be home in time for dinner.  ","<NIER> empezó a malhumorarse a medida que recorría el bosque. <STOP>Unas horas antes, cuando todavía lo sorprendía la belleza del lugar, estaba convencido de que podrían encontrar la salida y llegar a casa a tiempo para la cena.  "
"Mas quanto mais avançavam, mais a floresta se fechava ao redor dele. A névoa tornava difícil ver mais do que um metro em qualquer direção, e as pedras cobertas de musgo pareciam determinadas a torcer seus tornozelos. <STOP> Mais de uma vez ele foi obrigado a se apoiar na casca áspera de uma árvore, e suas mãos agora deixavam pequenos rastros de sangue em tudo o que tocava. <PAGE>","But the deeper they went, the more the forest closed in around him. The mist made it difficult to see more than a foot in any direction, and moss-covered rocks seemed determined to twist his ankle. <STOP>More than once he'd been forced to steady himself on the rough bark of a tree, and his hands now left small trails of blood on everything he touched.<PAGE>","Pero a medida que se adentraban, más frondosa se volvía la arboleda. La niebla hacía difícil ver más allá de un palmo de distancia en cualquier dirección, y las piedras cubiertas de moho parecían decididas a torcerle un tobillo. <STOP>Tuvo que agarrarse en más de una ocasión a la áspera corteza de los árboles, y sus manos empezaban a dejar pequeños rastros de sangre en todo lo que tocaba.<PAGE>"
"Além disso, Weiss estava se mostrando um companheiro de viagem espetacularmente ruim. Sem impedimentos por qualquer terreno ou esforço físico, ele passava a maior parte do tempo instigando <NIER> a apressar o passo e resmungando sobre seu progresso lento.<PAGE>","Additionally, Weiss was proving to be a spectacularly poor traveling companion. Unhindered by either terrain or physical effort, he spent most of his time urging <NIER> to pick up the pace and grumbling about their slow progress.<PAGE>","Por si fuera poco, Weiss estaba demostrando ser un pésimo compañero de viaje. Pese a no sufrir el terreno abrupto ni esfuerzo físico alguno, no hacía más que instar a <NIER> a que fuera más rápido y quejarse por lo lento que avanzaban.<PAGE>"
"Finalmente, depois que Weiss resmungou algo sobre tartarugas sem pernas serem mais rápidas para navegar naquele ambiente, <NIER> irrompeu.<STOP>""Okay, Weiss, cala essa boca por um segundo, tá bom!? VOCÊ não precisa andar!""<PAGE>","Finally, after Weiss muttered something about legless turtles being more adept at navigating the environment, <NIER> snapped. <STOP>""Okay, Weiss, cram it for a second, would you!? YOU don't have to walk!""<PAGE>","Weiss murmuró que una tortuga sin patas sería capaz de recorrer el camino más fácilmente y, entonces, <NIER> estalló. <STOP>""¡¿Puedes callarte un poco?! ¡Tú no tienes que caminar!"".<PAGE>"
"<NIER> encostou-se em uma árvore e tentou alongar as costas. ""Como essa porcaria de floresta pode ser tão grande?"" ele murmurou para si mesmo.<PAGE>","<NIER> leaned against a tree and tried to stretch the knots from his back. ""How can this stupid forest be so big?"" he muttered to himself.<PAGE>","<NIER> se apoyó contra un árbol intentando quitarse las contracturas de la espalda. ""¿Cómo puede ser tan inmenso este maldito bosque?"", murmuró para sí mismo.<PAGE>"
"No momento em que as palavras saíram de sua boca, uma cacofonia de insetos surgiu. <STOP> Todo tipo imaginável de zumbido, clique e sibilo rugiu em um volume que fez seus dentes tremerem.","The moment the words tumbled from his mouth, a cacophony of insects sprang to life. <STOP>Every imaginable form of buzz, click, and hiss roared out at a volume that rattled his teeth.","En el momento en el que pronunció esas palabras, una cacofonía de insectos cobró vida. <STOP>Toda una amalgama de zumbidos, chasquidos y siseos rugió a tal volumen que le hizo rechinar los dientes."
