"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"Por favor, meu bebê está faminto. Aceitarei uma casca de pão ou uma semente de maçã - qualquer coisa!","Please, my baby is starving. I'll take a crust of bread or an apple seed—anything!","Por favor, mi bebé tiene mucha hambre. Aceptaré una corteza de pan, una semilla de manzana... ¡Lo que sea!"
"Meu vizinho tem roubado minhas verduras! Tenho certeza disso!","My neighbor has been stealing my vegetables! I'm sure of it!","¡Mi vecino me ha estado robando las verduras! ¡Lo puedo asegurar!"
"As pessoas dizem que a família ali daquela casa tem acumulado comida em seu porão. Que vergonhoso!","People say the family over there is hoarding food in their basement. Shame on them all!","Dicen que aquella familia está almacenando comida en su sótano. ¡Debería darles vergüenza!"
"Os aldeões queimaram minha casa! Disseram que eu estava roubando verduras, mas não é verdade!","The villagers burned down my house! They said I'd been stealing vegetables, but it's not true!","¡Los aldeanos me han quemado la casa! ¡Me culpan de haber estado robando verduras, pero eso es mentira!"
"Não tenho nada para você! Saia já daqui!","I don't have anything for you! Go home already!","¡No tengo nada para ti! ¡Vete a casa!"
"Uau. Você parece... abatido.","Whoa. You look...rough.","Vaya. No tienes... muy buen aspecto."
"Eu tô bem.","I'm fine.","Estoy bien."
"Se você está dizendo. A propósito, Popola disse que tem uma carta para você ou algo do tipo.","If you say so. By the way, Popola said she had a letter for you or something.","Si tú lo dices. Por cierto, Popola me ha dicho que tenía una carta para ti o algo así."
"Olhe para você. Está cada vez mais alto.","Look at you. I think you've grown even taller.","¡Pero bueno! ¡Cada vez estás más alto!"
"É? Acho que nem notei isso direito.","Yeah? It's hard for me to tell anymore.","Ah, ¿sí? Ya no sabría decirte."
"Mas você não mudou nem um pouquinho, Popola. Qual é o seu segredo?","But you haven't changed a bit, Popola. What's your secret?","Tú, en cambio, estás igualita, Popola... ¿Cuál es tu secreto?"
"Vejo que suas habilidades de flerte também melhoraram.","I see your flattery skills are improving as well.","Anda que menudo lisonjero estás hecho..."
"Não, é sério. Você parece ter mesma desde a primeira vez que te vi.","No, it's true. You look the same as the day I first met you.","No, lo digo en serio. Estás igual que cuando te conocí."
"Okay, agora você está me deixando envergonhada.","Okay, now you're just embarrassing me.","Anda, ¡que me sacas los colores!"
"De qualquer forma, pegue isso. É do Emil.","Anyway, here. This is from Emil.","Bueno, toma. Es de Emil."
"Bem, bem. Talvez seja hora de salvarmos Kainé.","Well, well. Perhaps the time has come to save Kainé.","Bueno, bueno. Quizá haya llegado el momento de salvar a Kainé."
"......","......","......"
"Então isso significa que você vai sair da vila?","I take it this means you'll be leaving the village?","¿Con eso quieres decir que te vas de la aldea?"
"Desculpe. Eu sei que as Sombras têm incomodado ultimamente.","Sorry. I know the Shades have been rough lately.","Lo siento. Sé que las Sombras llevan un tiempo dando guerra."
"Tá tudo bem. Vá. Só tome cuidado.","It's okay. Go. Just be careful.","Bueno, está bien. Cuídate."
"Estou confiante de que a criança ainda vive.","I feel confident the child still lives.","Espero que la niña siga con vida."
"Claro que sim.","Of course she does.","Claro que sí."
"Bem-vindos, cavalheiros. Mestre Emil está esperando em seus aposentos.","Welcome, sirs. Master Emil is waiting in his chambers.","Sean bienvenidos, señores. El señorito Emil les espera en sus aposentos."
"Vamos conversar com Emil.","Let's talk to Emil.","Vayamos a hablar con Emil."
"Oh! Ei pessoal!","Oh! Hey there, guys!","¡Ah! ¡Hola, chicos!"
"Ei, Emil. Já faz um tempo.<LF>E, uh ... você não envelheceu nem um dia.","Hey, Emil. It's been a while.<LF>And, uh...you haven't aged a day.","Eh, Emil. Cuánto tiempo.<LF>Y... no has envejecido en absoluto."
"Oh, uh ... sim, é meu jeito ... especial.","Oh, uh...yeah, I'm sorta...special that way.","Ah, sí, verás... soy especial en ese sentido."
"Huh. Justo.","Huh. Fair enough.","Ajá, ya veo."
"De qualquer forma, ouvi dizer que você encontrou uma pista sobre como desfazer a maldição de petrificação?","Anyway, I hear you found a lead on undoing the petrification curse?","Por cierto, he oído que tienes una pista sobre cómo deshacer la maldición petrificadora. ¿Es cierto?"
"Sim! Dê uma olhada nisso.","Yes! Take a look at this.","¡Sí! Mira, echa un vistazo..."
"Há uma seção desta mansão chamada Sala de Planejamento e eu acho—","There's a section of this manor called the Planning Room, and I think—","En esta mansión hay una zona, la Sala de proyectos, y creo que..."
"Você acha que essa sala vai te permitir controlar todas as formas de magia. Certo?","You think this room will let you harness the ability to control all forms of magic. Correct?","Y crees que en esa sala podrás aprender a controlar todas las formas de magia.<LF>¿No es así?"
"Acredito que sim. Ou mesmo se não funcionar, algo ali pode nos apontar na direção certa.","Actually, yeah. Or even if it doesn't, something there might point us in the right direction.","La verdad es que sí. O, al menos, quizá haya algo que nos coloque en la dirección adecuada."
"Onde fica essa ""Sala de Planejamento""?","So where is this ""Planning Room""?","¿Y dónde está la ""Sala de proyectos""?"
"Tem uma entrada ali no pátio. Não é longe.","There's an entrance in the courtyard. It's not far.","Se accede por una puerta del patio. No queda lejos."
"Ótimo. Vamos encontrá-la.","Good. Let's go find it.","Genial. Vamos a buscarla."
"É aqui?","Is this it?","¿Es aquí?"
"""Aviso: Essa instalação...""","""Warning: This facility...""","""Aviso: Estas instalaciones..."""
"Não consigo ler o resto. Algo sobre um selo?","I can't read the rest. Something about a seal?","No puedo leer el resto. ¿Algo sobre un sello?"
"Se alguém se preocupou em anexar um aviso sobre essa sala, duvido que eles apreciarão uma entrada forçada.","If someone bothered to attach a warning to this room, I doubt they will appreciate us forcing our way inside.","Si alguien se ha molestado en colgar un aviso en esta sala, será porque no querrán que nos colemos dentro."
"Ngh...","Ngh...","Arg..."
"Emil! Você está bem? O que houve?","Emil! You okay? What's wrong?","¿Emil? ¿Qué ocurre? ¿Estás bien?"
"Nada... Não é nada. Estou bem.","Nothing... It's nothing. I'm fine.","Nada... No es nada. Estoy bien."
"O que é isso? Um pedaço de papel?","What's this? A scrap of paper?","¿Esto qué es? ¿Un trozo de papel?"
"Parece que esse lugar costumava ser um tipo de centro de pesquisa mágica.","It would appear this used to be some manner of magical research facility.","Parece que este lugar servía como laboratorio de magia o algo así."
"Aqui deve ter sido o lugar onde eu ficava... Nnngh!","This must have been where I was... Nnngh!","Aquí sería donde me... ¡Arggh!"
"Urgh...","Urgh...","Uf..."
"Emil!","Emil!","¿Emil?"
,,
"Eu... Eu vou ficar bem. Precisamos continuar.","I'll...I'll be okay. We need to keep going.","Estoy... Estoy bien. Debemos seguir adelante."
"Desculpe pelo inconveniente...","Sorry for the trouble...","Siento las molestias..."
,,
,,
,,
,,
"Projeto Número 6... Então esse era algum tipo de laboratório de armas?","Project Number 6... So this was some sort of weapons laboratory?","Proyecto Número 6... ¿Sería un laboratorio armamentístico quizá?"
"Mas que diabos acontecia aqui embaixo?","What the hell was going on down here?","¿Qué rayos está pasando ahí abajo?"
"Nnnghh... O que eu... estava fazendo aqui...?","Nnnghh... What was I...doing here...?","Aarghh... ¿Qué estaba... haciendo aquí...?"
"Tenho dúvidas se Emil será capaz de continuar.","I have doubts as to whether or not Emil will be able to continue.","La verdad es que no sé si Emil podrá continuar."
"Eu... eu estou bem... Vamos continuar.","I... I'm fine... Let's just go.","E-estoy bien... Vámonos."
"......","......","......"
,,
,,
,,
"Nngh... Unnngh...","Nngh... Unnngh...","Argh... Ufff..."
"Tem certeza de que está bem, Emil?","You sure you're okay, Emil?","¿Seguro que estás bien, Emil?"
"Eu sou uma... arma? O que isso quer dizer? O que <FONT=ITALIC>eu sou</FONT>?","I'm a...weapon? What does that even mean? What <FONT=ITALIC>am</FONT> I?","¿Soy... un arma? ¿Eso que significa? ¿Qué <FONT=ITALIC>soy</FONT>?"
"Parece que ele está tentando se lembrar de algo.","It appears he's trying to remember something.","Parece que está intentando recordar algo."
"Você vai ficar bem.","You're gonna be fine.","Te vas a poner bien."
"Eu vou? Realmente vou?","Am I? Am I really?","¿Sí? ¿De verdad?"
"Seu passado não importa. Nós vamos apoiar você, não importa como.","Your past makes no difference. We'll support you no matter what.","Tu pasado ahora es lo de menos. Estamos contigo."
"De qualquer forma, você dificilmente seria o primeiro membro de nosso grupo a ter problemas.","At any rate, you would hardly be the first member of our merry band to have issues.","Y tranquilo, no serías el primer miembro de nuestra alegre banda que pasa algún apuro."
"Não! Não olhe para mim!","No! Don't! Don't look at me!","¡No! ¡No me miréis!"
"......","......","......"
"Se esse agora é meu novo corpo, então que seja.","If this is how I look now, then so be it.","Si este es mi aspecto actual, que así sea."
"Morri de medo no começo mas não é tão ruim, sabe?","I was terrified at first, but it's not all bad, you know?","Al principio me horroricé, pero no está mal del todo, ¿sabes?"
"Tenho a magia que eu queria, e posso usar ela para trazer Kainé de volta para nós.","I have the magic I wanted, and I can use it to bring Kainé back to us.","Dispongo de la magia que deseaba y ahora puedo usarla para traer a Kainé de vuelta."
"Emil...","Emil...","Emil..."
"Devemos nos apressar. Ela tá esperando.","We should hurry. She's waiting.","Debemos darnos prisa. Nos está esperando."
"Só espero que me ver não a petrifique.<LF>...Sabe? De medo?","I sure hope seeing me doesn't petrify her.<LF>...You know? In fear?","Espero que no se quede de piedra al verme.<LF>De miedo, me refiero."
"Eu vejo que essa transformação não roubou seu terrível senso de humor...","I see this transformation has not stolen your terrible sense of humor...","¡Veo que esta transformación no se ha llevado tu terrible sentido del humor!"
"Estamos aqui para ver Emil, certo?","We are here to see Emil, yes?","Hemos venido a ver a Emil, ¿no?"
"Precisamos ir para o pátio.","We need to go to the courtyard.","Tenemos que ir al patio."
"Merda. Já faz um tempão.","Shit. That's a long time.","Joder, eso es mucho tiempo."
"Tiveram sorte com a Yonah?","Any luck with Yonah?","¿Ha habido suerte con Yonah?"
"Não estamos nem um pouco perto de encontrá-la. Precisamos conseguir localizar o Shadowlord.","We are still no closer to finding her. We need a way to locate the Shadowlord.","Seguimos sin tener ninguna pista sobre ella. Tenemos que dar con el Señor de las sombras."
"Aliás... isso é para você.","By the way...this is for you.","Por cierto... Esto es para ti."
"Isso é uma... uma Lágrima da Lua!?","Is that a...a Lunar Tear!?","Es... ¡¿una Lágrima lunar?!"
"Não é tão bonita quanto a da sua avó, mas... Eu tentei.","It's not as good as your grandmother's, but...I tried.","No está tan bien como la de tu abuela, pero... he hecho lo que he podido."
"Não, tá ótimo. Obrigada.","No, it's great. Thank you.","No, es genial. Gracias."
,,
,,
,,
"Tá de palhaçada comigo? Isso não pode ser sério!","Are you kidding me? You can't be serious!","¿Me estás tomando el pelo? ¡No te creo!"
"Por favor, tente entender.","Please try to understand.","Intenta comprenderlo, por favor."
"As pessoas estão cansadas e assustadas...<LF>Me desculpe. Me desculpe por te fazer passar por isso.","People are tired and scared, and...<LF>I'm sorry. I'm sorry you have to bear the brunt of that.","Todos están cansados y aterrados, y...<LF>Lo lamento. Lamento que tengas que cargar con ese peso."
"Isso é ridículo e vocês sabem disso!","This is crap and you know it!","¡Esto es una milonga y lo sabes!"
"Tá tudo bem.","It's okay.","No pasa nada."
"Podemos dormir lá fora.","We can sleep outside.","Podemos dormir fuera."
"Ninguém vai dormir fora!","No one's sleeping outside!","¡Nadie va a dormir fuera!"
"Você e Kainé salvaram esta vila e agora eles querem expulsar vocês!?","You and Kainé saved this village, and now they want to run you out!?","¡¿Kainé y tú habéis salvado esta aldea y ahora os quieren echar?!"
"As pessoas têm medo de nós. E sério, eu entendo. Tipo, olha para mim.","People are afraid of us. And really, I understand. I mean, look at me.","La gente nos tiene miedo. Y, en el fondo, lo entiendo. Solo hay que verme."
"Enquanto você ainda estiver com a gente, posso lidar com isso.","As long as you're still with us, I can deal with it.","Mientras sigas con nosotros, todo estará bien."
"Certo, Kainé?","Right, Kainé?","¿Verdad, Kainé?"
"Tô acostumada a dormir na rua.","I'm used to sleeping outside.","Estoy acostumbrada a dormir fuera."
"Mas...","But...","Pero..."
"Te veremos mais tarde.","We'll see you later.","Luego nos vemos."
"Sinto muito por isso...","Sorry about this...","Lo siento..."
"Qual é o problema?","What is the matter?","¿Qué ocurre?"
"Kainé sempre dorme na rua. Não havia pensado nisso até agora.","Kainé always sleeps outside. I never thought about that until just now.","Kainé siempre duerme fuera. Nunca lo había pensado hasta ahora."
"Isso nunca passou pela minha cabeça.","It never even occured to me.","Ni siquiera se me había pasado por la cabeza."
"Desgraça.","Dammit.","Joder..."
"...Devíamos ir dormir.","...We should turn in.","Deberíamos acostarnos ya."
"Eu não dormi muito naquela noite.","...I didn't get much sleep that night.",
"Queria culpar Devola por tudo.","I wanted to blame Devola for everything.",
"Queria agarrar Popola e estrangulá-la.","I wanted to grab Popola and strangle her.",
"Mas raiva não vai resolver nada.","But anger won't accomplish anything.",
"Eles disseram e fizeram o que fizeram pelo bem da vila.","They said and did what they did for the sake of the village.",
"Pelo bem de protegê-la da ameaça horrível das Sombras.","For the sake of protecting it from the horrifying threat of the Shades.",
"......","......",
"Se Devola e Popola são as culpadas...","If Devola and Popola are to blame...",
"Então sou igualmente culpado.","Then I am equally at fault.",
"Por não parar um momento para pensar em Kainé e Emil...","For not stopping for a moment to think about Kainé and Emil...",
"...Devo pedir desculpas a Kainé e Emil.","...I should apologize to Kainé and Emil.","Debería pedir disculpas a Kainé y Emil."
"Mas...","But...","Pero..."
"Que tipo de bem isso poderia fazer?","What good would that even do?","¿Y de qué serviría eso?"
"Espere. Aqueles são...?","Wait. Is that...?","Espera. ¿Es esa...?"
"Tô tão feliz por poder conversar com você novamente, Kainé!","I'm so happy to get to talk to you again, Kainé!","¡Qué alegría poder volver a hablar contigo, Kainé!"
"É, eu também.","Yeah, me too.","Sí, lo mismo digo."
"Tentei tudo o que pude pensar para te salvar, sabe?","I tried everything I could think of to save you, you know?","Intenté todo lo que se me ocurrió para salvarte, ¿sabes?"
"Limpei você com um pano especial, joguei água morna em você, eu—","I polished you with a special cloth, I poured warm water over you, I—","Te pasé un paño especial, te eché agua templada, te..."
"Peraí. Você jogou <FONT=ITALIC>água</FONT> em mim?","Wait. You poured <FONT=ITALIC>water</FONT> on me?","Un momento. ¿Me echaste <FONT=ITALIC>agua</FONT> por encima?"
"Hee hee! Sim. Mas não adiantou muita coisa além de te deixar brilhando.","Hee hee! Yeah. But it didn't really do much except make you all shiny.","¡Ji, ji! Sí, pero solo sirvió para darte brillo."
"......","......","......"
"Ei, Emil? ...Obrigada por me salvar.","Hey, Emil? ...Thanks for saving me.","Eh, ¿Emil...? Gracias por salvarme."
"Acho que você notou que estou... diferente agora.","I guess you noticed how I look...different now.","Supongo que ya habrás notado lo... diferente que estoy."
"Desculpa, Emil. Desculpa por tudo.","I'm sorry, Emil. I'm sorry for all of it.","Lo siento, Emil. Lo siento por todo."
"Bem, quer dizer, essa nova forma não é TOTALMENTE ruim, sabe?","Well, I mean, this new form isn't ALL bad, you know?","Bueno, a ver, esta nueva forma no está tan mal, ¿sabes?"
"Pelo menos posso te olhar enquanto conversamos, né?","At least I can look at you when we talk, right?","Al menos puedo mirarte cuando hablamos, ¿no?"
"Ei, então... por que não me conta algo sobre você?","Hey, so...why don't you tell me something about yourself?","Eh..., ¿por qué no me cuentas algo sobre ti?"
"Não sou tão interessante, desculpa.","I'm not very interesting, sorry.","No soy muy interesante."
"Vamos lá! Só quero te conhecer melhor...Por favor?","C'mon! I just wanna know you better. ...Pleeease?","¡Venga! Quiero conocerte mejor. ¿Porfaaa...?"
"Beleza.","Fine.","Vale."
"Tudo isso aconteceu quando eu era criança—antes da coisa de ""possessão das Sombras"". ","This all happened when I was a kid—before the whole ""Shade possession"" thing.","Todo esto pasó cuando era una niña, antes de lo de la ""posesión de la Sombra""."
"Meu corpo é... diferente. E quando os aldeões descobriram sobre isso, eles começaram a me tratar como uma aberração.","My body is...different. And when the villagers found out about it, they started treating me like a freak.","Mi cuerpo es... diferente. Y cuando los aldeanos lo descubrieron, empezaron a tratarme como a un bicho raro."
"Mas uma pessoa—minha avó—me aceitou como eu era.","But one person—my grandmother—accepted me just as I was.","Pero hubo una persona, mi abuela, que me aceptó tal y como era."
"Não importava o quão ruim as coisas ficassem, ela me deu forças para continuar.","No matter how bad things got, she gave me the strength to keep going.","No importaba cuánto se torcieran las cosas, ella me daba fuerzas para seguir adelante."
"Ela é muito especial para você, né?","She's really special to you, huh?","Es una persona muy especial para ti, ¿verdad?"
"Sim.","Yeah.","Sí."
"Ah, ei! Isso me dá uma ideia!","Oh, hey! That gives me an idea!","¡Eh, oye! ¡Eso me ha dado una idea!"
"Já que curamos sua petrificação, devíamos começar a procurar uma maneira de curar sua possessão e o meu corpo!","Since we cured your petrification, we should start looking for a way to cure your possession and my body!","Ya que hemos curado tu petrificación, ¡deberíamos empezar a buscar una forma de curar tu posesión y mi cuerpo!"
"Sei que podemos fazer isso se todos trabalharmos juntos!","I know we can do it if we all work together!","¡Sé que podemos hacerlo juntos!"
"Nossa, provavelmente vai ser super fácil!","Heck, it'll probably be super easy!","Joder, ¡seguro que es superfácil!"
"Deixa eu adivinhar: mais água morna?","Lemme guess: more warm water?","¿Vas a arreglarlo echando agua?"
"Ok, a gente pode só esquecer que te contei sobre isso?","Okay, can we just forget I told you about that?","Vale, mejor olvidemos que he dicho eso."
"Heh heh.","Heh heh.","Je."
"......","......","......"
"Dormiu bem?","Sleep well?","¿Has dormido bien?"
"Claro.","Sure.","Y tanto."
"Dormiu sim, esses olhos vermelhos contam uma história diferente.","And yet, your red eyes tell a different tale.","Viendo cómo tienes los ojos, cualquiera lo diría."
"Não seja tão duro consigo mesmo, rapaz.","Don't be so hard on yourself, lad.","No te castigues tanto, compañero."
"Preciso ir ver Devola e Popola.","I need to go see Devola and Popola.","Tengo que ir a ver a Devola y Popola."
"Muito bem.","Very well.","Muy bien."
"Deveria falar com Devola primeiro.","I should talk to Devola first.","Empezaré por Devola."
"Ei.","Hey.","Hola."
"Oh. Uh...oi.","Oh. Uh...hi.","Oh. Ah... hola."
"Meio que pensei que você nunca mais falaria conosco.","I kinda thought you'd never talk to us again.","Pensaba que ya no volverías a hablar con nosotros."
"Entendo que você está fazendo isso pela vila, e que não tem escolha.","I understand you're doing this for the village, and that you don't have a choice.","Entiendo lo que estás haciendo por la aldea y que no tienes elección."
"Mais ou menos, é. Mas olha, por que você não vai falar com Popola? Talvez ela queira discutir sobre o Shadowlord com você.","Pretty much, yeah. But look, why don't you go talk to Popola? I think she wanted to discuss the Shadowlord with you.","Más o menos, sí. De todas formas, ve mejor a hablar con Popola. Me parece que quería hablar del Señor de las sombras contigo."
"Vou lá daqui a pouco.","I'm headed there next.","Sí, pensaba ir ahora."
"Ah, e Devola?","Oh, and Devola?","Ah, Devola..."
"Sim?","Yeah?","¿Sí?"
"Desculpe por ontem. Não deveria ter perdido a cabeça daquele jeito.","Sorry about yesterday. I shouldn't have lost my temper like that.","Lo siento por lo de ayer. No debería haber perdido los estribos así."
"Não precisa se desculpar. Qualquer um ficaria chateado quando seus amigos estão sofrendo.","You don't need to apologize. Anyone would be upset when their friends are hurting.","No hace falta que te disculpes. Cualquiera montaría en cólera viendo sufrir a sus amigos."
"Diga a Emil e Kainé que sentimos muito, tá bem?","Let Emil and Kainé know that we're sorry, all right?","Discúlpate con Emil y Kainé de nuestra parte, ¿vale?"
"Tudo bem.","All right.","De acuerdo."
"Diga a Emil e Kainé que sentimos muito, tá bem?","Let Emil and Kainé know that we're sorry, all right?","Discúlpate con Emil y Kainé de nuestra parte, ¿vale?"
"Tudo bem.","All right.","De acuerdo."
"Popola?","Popola?","¿Popola?"
"Ah. Olá.","Oh. Hello.","Ah, hola."
"Olhe, quero me desculpar pelo que aconteceu onte─","Look, I want to apologize for yest─","Oye, quería pedirte perdón por lo de ay..."
"Pare. Você não fez nada de errado.","Stop. You didn't do anything wrong.","Alto. Tú no has hecho nada malo."
"Sim, e você também não.","Yeah, but neither did you.","Ya, pero tú tampoco."
"Você está apenas tentando proteger os moradores e quase pulei no seu pescoço por isso.","You're just trying to protect the villagers, and I jumped down your throat for it.","Solo intentas proteger a los aldeanos y yo te salté al cuello por eso."
"É muito gentil da sua parte dizer isso. Mas mesmo assim, por favor, não se preocupe com isso.","It's very kind of you to say so. Regardless, please don't let it trouble you.","Muy amable por tu parte. Lo pasado ya pasó, tranquilo."
"......","......","......"
"Ahem! Acredito que você queira discutir algo com a gente?","Ahem! I believe there was something you wished to discuss with us?","¡Ejem! Creo que querías hablar con nosotros de cierto tema, ¿no?"
"Ah, certo. Sim, sobre isso.","Oh, right. Yes, about that.","Ah, sí, es verdad."
"Você conhece o Santuário Perdido, certo?","You know about the Lost Shrine, right?","Conoces el Santuario Perdido, ¿verdad?"
"O templo onde me encontraram a primeira vez!","The temple where I was first discovered!","¡De aquel templo salí yo!"
"Isso mesmo. Bem, parece que o esconderijo de Shadowlord está, de alguma forma, ligado a ele.","That's it. Well, it seems that the Shadowlord's lair is connected to it somehow.","Eso es. Pues, no se sabe cómo, pero parece que la guarida del Señor de las sombras está conectada a él."
"Oh ho! Estava bem debaixo dos nossas páginas o tempo todo!","Oh ho! It was right under our pages the whole time!","¡Jo, jo! ¡Lo hemos tenido en las narices todo el tiempo!"
"Mas a ponte que leva até lá está inutilizável.","But the bridge that leads there is unusable.","Pero el puente que lleva hasta allí está roto."
"Então vá de barco.","So take a boat.","Usa una embarcación."
"Um barco?","A boat?","¿Una embarcación?"
"Sim. O canal foi finalmente consertado.","Yes. The canal's finally been repaired.","Sí. Por fin han reabierto el canal."
"Levou mais tempo que o esperado, com o lance das Sombras e tal.","It took a lot longer than expected, what with the Shades and all.","Ha tardado mucho más de lo esperado, con todo eso de las Sombras y tal."
"Também pedi a eles pra deixarem um barco no caminho pra entrada de trás do Santuário Perdido.","I also asked them to provide a boat at the path to the Lost Shrine's back entrance.","Les he pedido también que pusieran un bote en el camino de la entrada trasera del Santuario Perdido."
"O barqueiro deixará você viajar sem nenhum custo.","The ferryman will let you use it free of charge.","El capitán del transbordador te dejará usarlo sin coste alguno."
"Assim vai ser mais fácil você se deslocar de cidade para cidade.","That should make it easier for you to move from town to town.","Así podrás desplazarte más fácilmente de ciudad en ciudad."
"Obrigado, Popola.","Thanks, Popola.","Gracias, Popola."
"Você sempre fez muita coisa por mim.","I feel like you've done so much for me.","Te estoy muy agradecido por toda tu ayuda."
"Sou muito grato.","I'm really grateful.","Te estoy muy agradecido."
"......","......","......"
"Tudo bem. Nos vemos por aí.","All right. I'll see you around.","Vale. Ya nos veremos."
"E por tudo que é mais sagrado, toma cuidado!","And for the love of everything, be careful!","Y por lo que más quieras, ¡ten cuidado!"
"E por tudo que é mais sagrado, toma cuidado!","And for the love of everything, be careful!","Y por lo que más quieras, ¡ten cuidado!"
"Eles parecem estar fora no momento.","They appear to be out at the moment.","Parece que están fuera ahora mismo."
"E aí! Popola me falou sobre você.","Ho there! Popola told me about you.","¡Buenas! Popola me habló de ti."
"Basta me dizer pra onde você tá indo e eu te levo lá. Sem custo!","Just tell me where you're going, and I'll take you there. No charge!","Solo tienes que decirme dónde quieres ir y te llevo hasta allí. ¡Y gratis!"
"Salve! Vai embarcar?","Ho there! Gettin' on?","¡Buenas! ¿Subimos?"
"Lá está! Lá está!","There it is! There it is!","¡Ahí está! ¡Ahí está!"
"......","......","......"
"Mãe... Por que...?","Mom... Why...?","Mamá... ¿Por qué...?"
"Quem está aí!?","Who's there!?","¡¿Quién anda ahí?!"
"Quem é você?","Who are you?","¿Quién eres?"
"Eu sou Kalil. Qual seu nome?","I'm Kalil. What's your name?","Me llamo Kalil. ¿Tú cómo te llamas?"
"Robô de Defesa Militar P-33.","Military Defense Robot P-33.","Robot de defensa militar P-33."
"Você é um intruso. Você deve ser eliminado.","You are an intruder. You must be eliminated.","Eres un intruso. Debes ser eliminado."
"... Erro. Tem algo vazando de seus olhos.","...Error. There is something leaking from your eyes.","Error... Hay algo saliendo de tus ojos."
"Eu estou chorando, seu robô bobão! Sinto falta da minha mãe.","I'm crying, you big dumb robot! I miss my mom.","¡Estoy llorando, robot estúpido! Echo de menos a mi mamá."
"O que é chorar? Quem é a Mamãe?","What is crying? Who is Mom?","¿Qué es llorar? ¿Qué es mamá?"
"Não importa. Nunca mais verei ela novamente, porque ela está morta.","It doesn't matter. I can't see her ever again, because she's dead.","Da igual. No voy a volver a verla porque está muerta."
"......","......","......"
"Meu criador também está morto.","My creator is also dead.","Mi creador también está muerto."
"Ele faleceu centenas de anos atrás.","He perished hundreds of years ago.","Falleció hace cientos de años."
"Centenas de anos atrás? Sério?","Hundreds of years ago? Really?","¿Hace cientos de años? ¿En serio?"
"874 anos, 10 meses, 14 dias, 4 horas e 43 minutos.<LF>... 44 minutos.","874 years, 10 months, 14 days, 4 hours, and 43 minutes.<LF>...44 minutes.","874 años, 10 meses, 14 días, 4 horas y 43 minutos.<LF>...44 minutos."
"Você não se sente solitário?","Aren't you lonely?","¿No te sientes solo?"
"Sou incapaz de me sentir só. Ou sentir falta de outros. Ou chorar.","I am incapable of being lonely. Or missing others. Or crying.","Soy incapaz de sentirme solo. O de echar menos. O de llorar."
"Tô chorando porque não quero morrer.","I'm crying because I don't want to die.","Estoy llorando porque no quiero morir."
"Você... vai morrer?","You...will die?","¿Tú... morirás?"
"Se os humanos me pegarem, vão me matar.","If the humans catch me, they're gonna kill me.","Si los humanos me pillan, me matarán."
"Por que eles te matariam?","Why will they kill you?","¿Por qué te matarán?"
"*suspiro* Waaaaaah!!","*sniff* Waaaaaah!!","*llora* ¡Buaaaaah!"
"......","......","......"
".........",".........","........."
"............","............","............"
"Não vou permitir que humanos matem Kalil.","I will not permit the humans to kill Kalil.","No permitiré que los humanos maten a Kalil."
"Hã?","Huh?","¿Eh?"
"O Robô de Defesa Militar P-33 te protegerá.","Military Defense Robot P-33 will protect you.","El robot de defensa militar P-33 te protegerá."
"Você vai me ajudar?","You're gonna help me?","¿Vas a ayudarme?"
