"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Uh, você acabou de sugar o sangue daqueles monstros?","Uh, did you just suck the blood out of those things?","Eh, ¿acabas de chuparle la sangre a esas cosas?"
"Sangue é som... Sons são palavras... E palavras são poder!","Blood is sound... Sounds are words... And words are power!","La sangre es sonido... Los sonidos son palabras... ¡Y las palabras, poder!"
"Beeleeeza?","Oookay?","Estoooo... vale."
"Isso... é minha memória?","Is this...my memory?","¿Es este... mi recuerdo?"
"Você está bem, Weiss? Aguente firme!","You all right, Weiss? Hang in there!","¿Estás bien, Weiss? ¡Aguanta!"
"Hmm. Parece que posso recuperar meus poderes derrotando esses monstros.","Hmm. It would seem I can regain my powers by defeating these monsters.","Mmm. Parece que puedo recuperar mis poderes si acabo con estos monstruos."
"Isso é... Magia?","Is this...magic?","¿Esto es... magia?"
"Magia, de fato! Esse é o verdadeiro poder de Grimório Weiss!","Magic indeed! This is the true power of Grimoire Weiss!","¡Claro! ¡Es el verdadero poder de Grimoire Weiss!"
"Aguente firme, Yonah! Eu estou chegando!","Hold on, Yonah! I'm coming!","¡Espera, Yonah! ¡Ya voy!"
"Isso... São todos eles?","Is...is that all of them?","¿Ya... ya no hay más?"
"Um livro falante e estátuas que se movem? Sério!?","A talking book and moving statues? Really!?","¿Un libro parlante y estatuas que se mueven? ¡¿En serio?!"
"É tudo muito real, garoto! Mantenha sua espada brandida!","It is all too real, lad! Keep your sword high!","¡Esto es demasiado real, chico! ¡Mantén la guardia!"
"Cuidado com suas lâminas a todo custo!","Watch their blades at all costs!","¡Mucho ojo con sus armas!"
"Estou nisso!","I'm on it!","¡Estoy en ello!"
"Mantenha a calma. O homem que mantém a cabeça em uma luta é o que emerge vitorioso!","Stay calm. The man who keeps his head in a fight is the one who emerges victorious!","Calma. El hombre que conserva su cabeza en combate se alza con la victoria."
"Oh, isso é loucura! Você luta como um frango de uma perna só!","Oh, this is madness! You fight like a one-legged chicken!","¡Esto es de locos! ¡Peleas como un pollo sin cabeza!"
"Você poderia ficar quieto por um segundo!?","Can you maybe be quiet for a second!?","¡¿Te puedes callar un segundo?!"
"Droga, eles são fortes!","Damn, they're strong!","¡Maldita sea, son muy fuertes!"
"Isso é mais do seu poder?","Is this more of your power?","¿Esto también es cosa de tu poder?"
"Mmmm... Parece que sim.","Mmmm... It would seem so.","Mmm... Se podría decir que sí."
"Você tem <FONT=ITALIC>certeza</FONT> de que sabe o que está fazendo?","Are you <FONT=ITALIC>sure</FONT> you know what you're doing?","¿Estás <FONT=ITALIC>seguro</FONT> de lo que haces?"
"Olhe como essas criaturas tolas correm sem pensar para a batalha!","Look how these foolish creatures charge heedlessly into battle!","¡Fíjate como estas estúpidas criaturas se lanzan impetuosamente a luchar!"
"Ainda assim, lidar com ambos de uma vez pode se provar uma tarefa assustadora.","Still, dealing with both of them at once may prove to be a daunting task.","Aun así, lidiar con ambas a la vez puede que sea todo un desafío."
"Agora é sua chance! Ataque com todas as suas forças!","Now is your chance! Attack with all your might!","¡Esta es tu oportunidad! ¡Ataca con todas tus fuerzas!"
"Aprenda o padrão de seus ataques e então acabe com isso!","Learn the pattern of its shots, then finish it off!","¡Estudia el patrón de sus disparos y acaba con ella!"
"Eu já estou ocupado apenas esquivando!","I've got my hands full just dodging!","¡Me encantaría, pero no puedo más que esquivar sus ataques!"
"Isso enlouqueceu!?","Has it gone haywire!?","¡¿Se ha vuelto loca?!"
"Você não está negligenciando aquela filha sua?","Aren't you neglecting that daughter of yours?",
"Por que coisas terríveis continuam acontecendo conosco!?","Why do terrible things keep happening to us!?","¡¿Por qué nos persiguen estas desgracias?!"
"Pobre Yonah...","Poor Yonah...","Pobre Yonah..."
"Ela é apenas uma criança. Ela não merece isso.","She's just a little kid. She doesn't deserve this.","Solo es una chiquilla. No se merece nada de esto."
"Eu ajudaria de bom grado a moça, se tivesse os meios para isso.","I would gladly help the lass, had I the means to do so.","Si tuviera los medios, ayudaría a la joven de buena gana."
"Espere um segundo. Alguém está... Cantando?","Wait a second. Is someone...singing?","Un momento. ¿Hay alguien... cantando?"
"Um livro branco... Um livro preto...","A white book... A black book...","Un libro blanco... Un libro negro..."
"E uma doença...","And a disease...","Y una enfermedad..."
"Algum problema?","Is something the matter?","¿Algún problema?"
"Não, eu estava apenas pensando.","No, I was just thinking.","No, solo estaba pensando."
"Você pode salvar Yonah, Weiss. Inferno, talvez você possa salvar o mundo inteiro!","You can save Yonah, Weiss. Heck, maybe you can save the whole world!","Puedes salvar a Yonah, Weiss. ¡Vaya, podrías salvar al mundo entero!"
"Posso mesmo? Eu me pergunto...","Can I, though? I wonder...","¿Podría? Me pregunto si..."
"Acho que não vou usar você como lenha afinal.","I guess I won't use you for kindling after all.","Al final no te voy a usar para avivar el fuego."
"Você realmente deveria tratar seres mágicos onipotentes com mais respeito.","You really should treat omnipotent magical beings with more respect.","Deberías respetar más a los seres mágicos omnipotentes."
"Devo dizer que ""Canção dos Anciões"" é uma música bastante cativante.<LF>Posso ver por que os bardos a mantiveram viva através dos séculos.","I must say, that ""Song of the Ancients"" is a rather catchy number.<LF>I can see why the bards kept it alive through the eons.","Esa ""Canción de los ancestros"" es muy pegadiza. Normal que sea popular."
"Sim, é uma música que faz você querer bater o pé. Peraí, você ainda tem dedos nos pés?","Yeah, it's a real toe tapper. Wait, do you even have toes?","Sí, hace que los pies se te vayan solos. Oye, ¿tú acaso tienes pies?"
"Este é um lugar estranho para uma vila.","This is a weird place for a village.","Qué lugar tan extraño para una aldea."
"Como vamos chegar à casa do chefe?","How are we supposed to reach the chief's house?","¿Cómo vamos a llegar hasta la casa del jefe?"
"Não confiamos em sua espécie...","We don't trust your kind...","No confiamos en los de tu especie..."
"Hum, estou procurando por alguém que saiba sobre os Versos Selados.","Um, I'm looking for someone who knows about the Sealed Verses.","Eh, busco a alguien que conoce los Versos sellados."
"Você é como ela. Como a Kainé!","You're just like her. Like Kainé!","Eres como ella. ¡Como Kainé!"
"Bem, isso parece ser um glorioso desperdício de tempo.","Well, this appears to be a glorious waste of time.","Vaya, esto parece una monumental pérdida de tiempo."
"E aí.","Hey there.","Buenas."
"Deixem nossa aldeia imediatamente!","Leave our village at once!","¡Abandona nuestra aldea de inmediato!"
"O quê? Por favor, só me escuta!","What? Please, just listen to me!","¿Cómo? ¡Por favor, escúchame!"
"Amaldiçoado! Você está amaldiçoado!","Cursed! You are cursed!","¡Maldito! ¡Estás maldito!"
"Deixem nossa aldeia imediatamente!","Leave our village at once!","¡Abandona nuestra aldea de inmediato!"
"Não ousamos desafiar as Sombras.","We dare not defy the Shades.","No nos atrevemos a desafiar a las Sombras."
"Alguém precisa pôr um fim naquela Kainé!","Someone needs to put an end to that Kainé!","¡Alguien tiene que acabar con esa Kainé!"
"Aquela mulher foi contaminada por uma Sombra, e agora olhe para ela.","That woman was tainted by a Shade, and now look at her.","Esa mujer estaba corrompida por una Sombra. Mírala ahora."
"Estou com tanto medo... Eu nunca mais sairei da minha casa.","I'm so scared... I'll never leave my home again.","Tengo mucho miedo... Jamás volveré a salir de mi casa."
"Deixem nossa aldeia imediatamente!","Leave our village at once!","¡Abandona nuestra aldea de inmediato!"
"Não ousamos desafiar as Sombras.","We dare not defy the Shades.","No nos atrevemos a desafiar a las Sombras."
"Não confiamos em sua espécie...","We don't trust your kind...","No confiamos en los de tu especie..."
"Você é como ela. Como a Kainé!","You're just like her. Like Kainé!","Eres como ella. ¡Como Kainé!"
"Amaldiçoado! Você está amaldiçoado!","Cursed! You are cursed!","¡Maldito! ¡Estás maldito!"
"Não confiamos em sua espécie...","We don't trust your kind...","No confiamos en los de tu especie..."
"Deixem nossa aldeia imediatamente!","Leave our village at once!","¡Abandona nuestra aldea de inmediato!"
"Parece que não há Sombras poderosas aqui.","It would appear there are no powerful Shades here.","Parece que no hay Sombras poderosas por aquí."
"Os Versos Selados nunca seriam encontrados em um lugar assim.","The Sealed Verses would never be found in such a place.","Los Versos sellados jamás aparecerían en un lugar así."
"Sim. Vamos falar com a Popola e descobrir um novo plano.","Yeah. Let's go talk to Popola and figure out a new plan.","Sí. Vamos a hablar con Popola para elaborar otro plan."
"O que você está esperando, idiota? Ataque-a!","What are you waiting for, fool? Attack her!","¿A qué esperas, idiota? ¡Atácala!"
"Filho da puta. Eu sabia que isso ia acontecer.","Son of a bitch. I knew this would happen.","Hijo de puta. Lo sabía."
"Nós a pegamos?","Did we get her?","¿La hemos atrapado?"
"Que diabos!?","The heck!?","¡¿Qué demonios?!"
"Por minhas próprias páginas! A garota domina magia!","By my very pages! The girl wields magic!","¡Por mis páginas! ¡La chica controla la magia!"
"Ah, fala sério. Você está brincando!?","Oh, come on. Are you serious!?","¡Venga ya! ¡¿En serio?!"
"O que diabos está acontecendo aqui?","What the heck is going on here?","¿Qué demonios está pasando aquí?"
"Saia do meu caminho!","Stay outta my way!","¡Fuera de mi camino!"
"Ele é meu, seus idiotas!","He's mine, you idiots!","¡Él es mío, idiotas!"
"Parece que não somos o foco da raiva dela.","It would appear we are not the focus of her anger.","Parece que no somos el foco de su ira."
"Acho que não.","Guess not.","Supongo que no."
"Cuidado com a onda de choque!","Beware the shockwave!","¡Cuidado con la onda expansiva!"
"Espere até que tenhamos a chance de nos aproximar.","Hold back until we have a chance to approach.","Aguanta hasta que podamos acercarnos."
"Ela acabou de cuspir algo! O que <FONT=ITALIC>são</FONT> aquelas coisas?","It just spat something out! What <FONT=ITALIC>are</FONT> those?","¡Acaba de escupir algo! ¿Qué <FONT=ITALIC>son</FONT> esas cosas?"
"Esses caras também são Sombras?","Are these guys Shades, too?","¿También son Sombras?"
"Ela é humana?","Is she human?","¿Es humana?"
"Ela foi possuída por uma Sombra.<LF>Ela não existe nem como humana e nem outra coisa.","This one has been possessed by a Shade.<LF>She exists as neither fully human nor other.","La ha poseído una Sombra.<LF>Es mitad humana y mitad otra cosa."
"Ugh... Tô me sentindo mal por tratá-la como uma daquelas coisas.","Ugh... I feel bad for treating her like one of those things.","Uff... Me siento mal por tratarla como a una de esas criaturas."
"Nós devemos ajudá-la.","We have to help her.","Debemos ayudarla."
"Uma meio-humana e uma Sombra gigante, hmmm?","A half-human and a giant Shade, mmm?","Una medio humana y una Sombra gigante, ¿eh?"
"Ela é até bonita, mas é <FONT=ITALIC>realmente</FONT> intensa.","She's kinda pretty, but she's <FONT=ITALIC>really</FONT> intense.","Es mona, pero <FONT=ITALIC>muy</FONT> intensita."
"Deve haver um Verso Selado dentro dessa enorme Sombra. Tenho certeza disso.","There must be a Sealed Verse inside that enormous Shade. I am certain of it.","Dentro de esa enorme Sombra debe haber un Verso sellado. Estoy seguro."
"Talvez, mas não há como enfrentar essa coisa agora.","Maybe, but there's no way we can take that thing on now.","Puede ser, pero ahora no vamos a poder con ella."
"Preciso ficar mais forte.","I need to get stronger.","Tengo que aumentar mi fuerza."
"O que você sabe sobre o Lixão?","What do you know about this Junk Heap?","¿Qué sabes sobre esa chatarrería?"
"Creio que existam ruínas antigas enterradas lá?","I guess there are ancient ruins buried there?","¿Que allí hay enterradas unas ruinas antiguas?"
"Está cheio de sucata antiga e outras coisas estranhas que ninguém entende.","It's full of old scrap and other weird stuff that no one understands.","Está llena de chatarra vieja y otros cachivaches sin sentido."
"Para chegar lá, temos que atravessar a ponte de ferro a nordeste.","To get there, we have to cross the iron bridge to the northeast.","Tendremos que cruzar el puente de hierro del noreste para llegar allí."
"Popola diz que essas enormes caixas de metal costumavam atravessar essa ponte o tempo todo no mundo antigo.","Popola says these huge metal crates used to cross that bridge all the time in the old world.","Popola dice que, en el viejo mundo, lo cruzaban estas enormes cajas de metal."
"Os humanos certamente eram sábios naquela época.","Humans certainly were wise back then.","Sí que eran listos los humanos por aquel entonces."
"Não sei. Se eles eram tão inteligentes, por que acabamos assim?","I dunno. If they were so smart, why did we end up like this?","No sé yo. Si eran tan listos, ¿cómo hemos terminado así?"
"Nossa, está bem claro aqui dentro.","My, it is bright in here.","Pues sí que hay luz aquí, pardiez."
"Parece que a maquinaria antiga ainda está funcionando.","Looks like the ancient machinery is still working.","Parece que la maquinaria antigua sigue operativa."
"Não que tenhamos alguma ideia de COMO funciona.","Not that we have any idea HOW it works.","Ni la más remota idea de cómo funciona."
"Ruínas de tempos antigos, vigiadas durante <LF> milhões de anos por máquinas imparáveis.","Ruins from ancient times, patrolled for eons<LF>by unstoppable machines.","Ruinas antiguas, patrulladas durante eones por máquinas imparables."
"Sim, e aposto que elas estão cheias de materiais raros.","Yeah, and I bet they're full of rare materials.","Sí, y seguro que están llenas de materiales muy poco comunes."
"Esse lugar aqui tá bem agitado.","It's pretty rough in here.","Esto es muy duro."
"Sim, nada apropriado para o trabalho de crianças.","Yes, hardly suitable work for children.","Sí, no es el mejor trabajo para un niño."
"Eles pareciam bem magros, também.","They both looked so skinny, too.","Y, además, parecían muy delgaduchos."
"Tenho certeza de que o mais velho tem dado a sua parte da comida para o seu irmão.","I'm certain the elder has been giving his share of their food to his brother.","Seguro que el mayor le está dando su ración de comida a su hermano."
"Isso deve ajudar.","That should do it.","Con esto bastará."
"A porta parece quebrada...","The door looks broken...",
"Tudo bem. Ele disse que a mãe deles estaria em algum lugar no interior da montanha, certo?","All right. He said their mom would be somewhere deep inside the mountain, right?","Muy bien. Ha dicho que su madre estaría en lo más profundo de la montaña, ¿no?"
"Se me permite perguntar, o que te leva a se intrometer nos assuntos dessas crianças?","If I may ask, what is it that possesses you to meddle in the affairs of these children?","Perdona, pero ¿qué se te ha perdido a ti en todo este asunto de los niños?"
"Yonah e eu sabemos como é sentir falta da mãe...","Yonah and I both know what it feels like to miss your mother...","Yonah y yo sabemos lo que se siente al perder a una madre..."
"Não é possível que você acredite que a mãe deles conseguiu chegar até aqui embaixo lutando.","You can't possibly believe their mother managed to fight her way down here.","No creerás que su madre logró llegar hasta aquí luchando."
"Urm...","Urm...","Ehh..."
"Ou, para dizer a verdade, que ela tem coletado sucata por uma semana inteira?","Or, for that matter, that she has been collecting scrap metal for a solid week?","Ni tampoco que se ha tirado una semana recogiendo chatarra..."
"......","......","......"
"Abra seus olhos, garoto! A mulher claramente está-","Open your eyes, lad! The woman is clearly—","¡Abre los ojos, chaval! Es obvio que la mujer está..."
"Ela está viva!","She's alive!","¡Viva!"
"......","......","......"
"Milagres não acontecem se você não acreditar neles, entendeu?","Miracles don't happen if you don't believe in them, okay?","Hay que creer en los milagros para que sucedan, ¿vale?"
"Milagres? Ah!","Miracles? Pah!","¿Milagros? ¡Bah!"
"Não seja esmagado!","Don't let yourself be crushed!","¡No te dejes aplastar!"
"Ah, é mesmo?!","Oh, you think!?","¡Oh, qué gran consejo!"
"Mas que peça de maquinário problemática.","What a troublesome piece of machinery.","Qué pedazo de chatarra más pesado."
"Ah, sério, mais isso agora!?","Oh, come on, now what!?","¡Oh, venga ya! ¡¿Ahora qué?!"
"Acabe com elas! Esse é o único jeito!","Clear them all out! That's the only way!","¡No dejes títere con cabeza! ¡Es la única manera!"
"Meras máquinas não podem nos desafiar!","No mere machine can defy us!","¡Ninguna maquinita podrá con nosotros!"
"Mantenha o foco, Weiss!","Stay focused, Weiss!","¡Céntrate, Weiss!"
"Fique atendo aos arredores!","Be aware of your surroundings!","¡Vigila el entorno!"
"Aquelas câmaras estão carregadas de bombas...","Those chambers are loaded with bombs...","Esas cámaras están hasta los topes de explosivos..."
"Está funcionando!","It's working!","¡Funciona!"
"Inacreditável. Um ponto fraco tão óbvio!","Unbelievable. Such an obvious weak point!","¡Increíble! ¡Vaya punto débil más obvio!"
"Nível de ameaça: Amarelo. Sistema de defesa operacional.","Threat level: Yellow. Defense system operational.",
"Intruso detectado. Intruso detectado.","Intruder detected. Intruder detected.",
"Nível de ameaça: Vermelho. Filtro de ataque indiscriminado online.","Threat level: Red. Indiscriminate attack filter online.",
"Agora só resta aquela cabeça enorme.","Now all that remains is that oversized head.","Ya solo queda esa enorme cabeza."
"Estou preocupado com a Yonah. Vamos voltar.","I'm worried about Yonah. Let's go back.","Estoy preocupado por Yonah. Regresemos."
"Vamos visitar Aerie. Eles têm Sombras lá.","Let's visit The Aerie. They've got Shades there.","Vayamos a Nido del Águila. Allí hay Sombras."
"De fato. E podemos encontrar um Verso Selado, além disso.","Indeed. And we may just find a Sealed Verse, besides.","Sí. Y quizá encontremos un Verso sellado."
"Aquele aldeão está sendo atacado!","That villager is under attack!","¡Ese aldeano está siendo atacado!"
"Você realmente o deixaria morrer!?","Would you truly leave him to perish!?","¡¿De verdad vas a abandonarlo a su suerte?!"
"*suspiro* Eu poderia olhar para o mar o dia todo e nunca ficar entediado.","*sigh* I could stare at the sea all day and never get bored.","*suspiro* Podría pasarme todo el día mirando el mar."
"O povo daqui parece muito amigável.","The people here all seem friendly.","La gente de por aquí es bastante amable."
"Talvez as propriedades curativas desse peixe xamã os mantenham de bom humor!","Perhaps the healing properties of this shaman fish keeps them in high spirits!","¡Puede que las propiedades curativas de este pez chamán les levante el ánimo!"
"Acho que é melhor encontrarmos um bom local de pesca...","Guess we'd better find a good fishing spot...",
"Acho que você precisa se mover na direção oposta ao caminho que o peixe está seguindo.","I think you need to move in the opposite direction from the way the fish is going.",
"Cuidado, agora.","Careful, now.",
"Quando a vara de pesca faz um movimento considerável, você também precisa mover o corpo.","When the fishing pole makes a large movement, you need to move your body as well.",
"Eu sei, tá?","I know, all right?",
"Perfeito. Vamos levar isso de volta para Yonah.","Perfect. Let's get this back to Yonah.","Perfecto. Volvamos con Yonah para darle esto."
"Talvez devêssemos fazer uma visita à velha, hein? Eu tenho uma suspeita sobre ela...","Perhaps we should pay a visit to the old woman, eh? I have a suspicion about her...","¿Y si vamos a ver a la anciana? Tengo ciertas sospechas sobre ella..."
"Temos que ajudar Kainé!","We have to help Kainé!","¡Debemos ayudar a Kainé!"
"O que diabos cês tão fazendo aqui?","The hell are you doing here?","¿Qué demonios hacéis aquí?"
"Achamos que você poderia precisar de ajuda!","We thought you could use a hand!","¡Pensamos que no os vendría mal algo de ayuda!"
"......","......","......"
"Sim, e eu acredito que um sincero obrigado seria apropriado, hmmm?","Yes, and I do believe a heartfelt thank-you is in order, hmmm?","Sí, y creo que un sentido agradecimiento no estaría de más, ¿verdad?"
"Sim, isso não vai acontecer.","Yeah, that's not happening.","Pues te vas a quedar con las ganas."
"O que poderia ter feito essas Sombras aparecerem com tanta violência?","What could have caused these Shades to appear in such force?","¿Por qué habrán aparecido estas Sombras de forma tan violenta?"
"Eu não sei, mas elas estão por toda a vila também.","I don't know, but they're all over the village, too.","No sé, pero están por toda la aldea."
"Então precisamos ir ajudar! Talvez possamos encontrar um Verso Selado enquanto estamos lá.","Then we need to go help! We might be able to find a Sealed Verse while we're at it.","¡Pues tenemos que ir a ayudar! Y quizá demos con un Verso sellado, ya de paso."
"Mantenha a guarda alta!","Keep your guard raised!","¡No bajes la guardia!"
"Como se houvesse outra escolha!","As if there were any other choice!","¡Como si tuviera otra elección!"
"Apodreça no inferno, seu cuzão!","Rot in hell, you fucking asshole!","¡Púdrete en el infierno, maldito cabrón!"
"Uhhh ... Você acabou de dizer o que eu acho que disse?","Uhhh... Did you just say what I think you said?","Ehhh... ¿Acabas de decir lo que he creído oír?"
"Vou arrancar seus malditos olhos e mijar nos buracos!","I'll tear out your goddamn eyes and piss in the sockets!","¡Te sacaré los putos ojos y me mearé en las cuencas!"
"Meu Deus do céu! Eu nunca ouvi tal coisa!","Good sweet lord! I have never heard such a thing!","¡Madre del amor hermoso! ¡Jamás había oído algo semejante!"
"Saia, mestiça!","Get out, half-breed!","¡Fuera de aquí, mestiza!"
"Você trouxe essas Sombras aqui!","You brought these Shades here!","¡Las Sombras han venido por tu culpa!"
"Não queremos você!","We don't want you!","¡No te queremos!"
"Apenas nos deixe em paz!","Just leave us in peace!","¡Déjanos en paz!"
"Não é a cidade mais amigável do mundo, não é?","Not the friendliest town in the world, is it?","Un pueblecito de lo más hospitalario, ¿eh?"
"Você me enoja! Você enoja a todos!","You disgust me! You disgust us all!","¡Me das asco! ¡A todos nos lo das!"
"Não se atreva a se chamar de humana!","Don't you dare call yourself human!","¡Ni siquiera eres humana!"
"Saia!","Get out!","¡Fuera! ¡Fuera de nuestra aldea!"
"Saia da nossa vila!","Get out of our village!","¡Fuera de nuestra aldea!"
"O que há de errado com vocês!?","What is wrong with you people!?","¡¿Qué diablos os pasa?!"
