"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
"Itens Raros","Além dos itens normais, alguns inimigos têm uma pequena chance de largar itens raros.","Rare Items","In addition to normal items, some enemies have a small chance of dropping rare items.","Objetos poco comunes","Además de los objetos normales, algunos enemigos pueden soltar objetos poco comunes."
"Mirando com a Lança Sombria","Pressione {01C28B} para alternar entre os modos de mira ao atacar com a Lança Sombria.","Dark-Lance Targeting","Press {01C28B} to switch between targeting modes whilst attacking with Dark Lance.","Apuntar con la Lanza oscura","Pulsa {01C28B} para alternar entre los modos de apuntado al atacar con Lanza oscura."
"Coletando Materiais","Os itens encontrados no terreno reaparecem quando você troca de mapa, permitindo que você os colete quantas vezes quiser.","Collecting Materials","Items found in the field respawn when you change maps, allowing you to collect them over and over.","Reunir materiales","Los materiales que se encuentran en el terreno vuelven a aparecer cuando cambias <LF>de mapa, lo que te permite recogerlos las veces que quieras."
"Absorvendo Sangue","O sangue deixado por inimigos derrotados são automaticamente absorvidos e concedem aumento de MP.","Absorbing Blood","Blood that sprays from defeated enemies is automatically absorbed for an MP boost.","Absorber sangre","Las marcas de sangre que dejan los enemigos derrotados se absorben<LF>automáticamente y te otorgan un aumento de PM."
"Colisões Mágicas","Se sua magia colidir com a de um inimigo,<LF>a magia mais forte anulará a mais fraca.<LF>Se forem igualmente fortes, anularão uma a outra.","Magical Collisions","If your magic collides with an enemy's,<LF>the stronger magic will cancel the weaker one.<LF>If they are equally strong, they will cancel each other out.","Colisiones mágicas","Si tu magia choca con la de un enemigo, la magia más poderosa anulará la más débil.<LF>Si son de un poder similar, ambas se anularán mutuamente."
"Final B","Carregue seus dados salvos após concluir o jogo para vivenciar a história de Kainé.","Ending B","Load your clear data after completing the game to experience Kainé's story.","Final B","Carga tu partida después de completar el juego para vivir la historia de Kainé."
"Final C","Obtenha todas as armas do jogo e você poderá tomar uma decisão final que afeta a história.","Ending C","Obtain all of the weapons in the game and you'll be able to make one final decision that affects the story.","Final C","Consigue todas las armas del juego y podrás tomar una decisión final que afecta a la historia."
"Final D","Sua escolha nesta decisão pode permitir que você veja a última parte do final.","Ending D","Your choice in this decision could allow you to view the very last piece of the ending.","Final D","Tu elección en este punto decisivo te permitirá ver el último fragmento del final."
"Evadindo","Pressione {01C297} para dar uma cambalhota.<LF>Continue pressionando {01C2B5} enquanto desvia para correr.","Evading","Press {01C297} to perform an evasive roll.<LF>Keep holding {01C2B5} after evading to sprint.","Esquivar","Pulsa {01C297} para ejecutar una voltereta.<LF>Sigue moviéndote con {01C2B5} mientras esquivas para correr."
"Pulo Duplo","Após pular com {017D}, pressione {017D} novamente enquanto estiver no ar para realizar um segundo pulo no ar.","Double-Jump","After jumping with {017D}, press {017D} again while airborne to perform a second, mid-air jump.","Salto doble","Tras saltar con {017D}, pulsa {017D} de nuevo en el aire para ejecutar un segundo salto<LF>aéreo."
"Mudança de Skills/Habilidades","Pressione {01C285} para abrir o menu e vá para ""Skills/Habilidades""<LF>para mudar as skills e habilidades que você equipou.","Changing Skills/Abilities","Press {01C285} to open the menu and navigate to ""Skills/Abilities""<LF>to change what skills and abilities you have equipped.","Cambio de habilidades y capacidades","Pulsa {01C285} para abrir el menú y ve a ""Habilidades/Capacidades""<LF>para cambiar las que tienes equipadas."
"Troca Rápida de Armas","Ativar a troca rápida de armas nas configurações do menu permitirá que você<LF>alterne instantaneamente os tipos de armas pressionando {01C28A}.","Weapon Quick-Switching","Enabling Weapon Quick-Switching via the settings menu will allow you to<LF>instantly switch weapon types by pressing {01C28A}.","Cambio rápido de arma","Al activar el cambio rápido de arma desde los ajustes del menú, podrás<LF>cambiar instantáneamente de tipo de arma si pulsas {01C28A}."
"Golpe Final","Pressione {017E} perto de um inimigo caído para causar muito dano.","Finishing Blow","Press {017E} near a fallen foe to deal serious damage.","Golpe de gracia","Pulsa {017E} junto a un enemigo abatido para infligir daños graves."
"Troca Rápida de Magia e Habilidade","Pressione e segure {01C285} para editar instantaneamente seus slots de magia e habilidade.","Magic/Ability Quick-Switching","Press and hold {01C285} to instantly edit your magic and ability slots.","Cambio rápido de magia y habilidades","Pulsa y mantén {01C285} para editar al instante tus ranuras de magia y habilidades."
"Travar Mira","Pressione {01C28B} para mirar em um inimigo próximo.<LF>Uma vez travado, mova {01C2B6} para esquerda ou para a direita para alternar os alvos.<LF>Observe que a função de {01C28B} mudará para ""pausar batalha automática"" quando a batalha automática estiver ativa.","Lock-On","Press {01C28B} to set a nearby foe as your target.<LF>Move {01C2B6} left or right while locked on to switch targets.<LF>Note that {01C28B}'s function will change to ""pause auto-battle"" when auto-battle is active.","Fijado","Pulsa {01C28B} para fijar a un enemigo cercano como objetivo.<LF>Una vez fijado, mueve {01C2B6} a izquierda o derecha para cambiar de objetivo."
"Troca rápida de Skills/Habilidades","Pressione e segure {01C285} para editar instantaneamente seus slots de skill e habilidade.","Skills/Ability Quick-Switching","Press and hold {01C285} to instantly edit your skill and ability slots.","Cambio rápido de habilidades y capacidades","Pulsa y mantén {01C285} para editar al instante tus ranuras de habilidades y capacidades."
"O Que Fazer a Seguir","Veja a parte inferior da tela exibida com {01C285} para ver o que você deve fazer.","What to Do Next","Look along the bottom of the screen displayed with {01C285} to check what you should do next.","Qué hacer a continuación","Mira en la parte inferior de la pantalla que se muestra con {01C285} para comprobar qué deberías hacer."
"Veneno","Alguns ataques de inimigos podem infligir veneno.<LF>O veneno se dissipa sozinho com o tempo,<LF>mas também pode ser curado imediatamente usando uma erva antídoto.","Poison","Certain enemy attacks are capable of inflicting poison status.<LF>Poison will clear up on its own after enough time has passed,<LF>but it can also be cured right away by using an antidotal weed.","Veneno","Algunos ataques enemigos pueden infligir envenenamiento.<LF>El veneno se disipa con el paso del tiempo,<LF>pero también se puede curar al instante usando una hierba antídoto."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
