"Salvar?","Save?","¿Guardar?"
"Comprar","Buy","Comprar"
"Vender","Sell","Vender"
"Cancelar","Cancel","Cancelar"
"Poder de Ataque","Attack Power","Poder de ataque"
"Peso","Weight","Peso"
"Total","Total","Total"
"Dinheiro","Money","Dinero"
"Você não tem itens para vender.","You have no items to sell.","No tienes objetos para vender."
"Não há itens que você possa comprar.","There are no items you can buy.","No hay ningún objeto que puedas comprar."
"Comprar esses itens?","Purchase these items?","¿Confirmas la compra?"
"Vender esses itens?","Sell these items?","¿Confirmas la venta?"
"Sim","Yes","Sí"
"Não","No","No"
"G","G","G"
"(","(","("
")",")",")"
"Poder Mágico","Magic Power","Poder mágico"
"Loja de Armas Dois Irmãos","Two Brothers Weaponry","Armería de los hermanos"
"Comprar","Buy","Comprar"
"Vender","Sell","Vender"
"Selecione um item para comprar.","Select an item to buy.","Selecciona el objeto que quieras comprar."
"Selecione um item para vender.","Select an item to sell.","Selecciona el objeto que quieras vender."
"Cancelar","Cancel","Cancelar"
"Escolha um destino:","Choose a destination:","Elige un destino:"
"Superfície","Surface","Superficie"
"1F","1F","Primer piso"
"2F","2F","Segundo piso"
"B1","B1","Sótano 1"
"B2","B2","Sótano 2"
"B3","B3","Sótano 3"
"Vila de <NIER>","<NIER>'s Village","Aldea de <NIER>"
"Beira-Mar","Seafront","Ciudad Costera"
"Lixão","Junk Heap","Chatarrería"
"Aerie","The Aerie","Nido del Águila"
"Floresta dos Mitos","Forest of Myth","Bosque de las Leyendas"
"Facade","Facade","Fachada"
"Deserto","Desert","Desierto"
"Planícies do Norte","Northern Plains","Llanuras del norte"
"Santuário Perdido: Fundos","Lost Shrine: Rear Path","Santuario Perdido: Camino tra."
"Entrada","Entrance","Entrada"
"Loja de Armas","Weapon Shop","Tienda de armas"
"Mercearia","Grocery Store","Tienda de alimentación"
"Mansão do Rei","King's Mansion","Mansión del rey"
"Loja de Materiais","Material Shop","Tienda de materiales"
"Loja de Itens-Exóticos","Strange-Thing Store","Tienda de objetos raros"
"Entrada do Deserto","Desert Entrance","Entrada al desierto"
"Cemitério de Facade","Facade Graveyard","Cementerio de Fachada"
"Facade","Facade","Fachada"
"Templo Árido","Barren Temple","Templo Árido"
"Dificuldade","Difficulty","Dificultad"
"Seleção de Trajes","Outfit Selection","Selección de vestimenta"
"Instalar","Install","Instalar"
"Instalando dados do jogo...","Installing game data...","Instalando datos del juego..."
"Pressione o Botão START","Press the START button","Pulsa el botón START"
"Fácil","Easy","Fácil"
"Normal","Normal","Normal"
"Difícil","Hard","Difícil"
"Padrão","Standard","Estándar"
"Kabuki","Kabuki","Kabuki"
"Samurai","Samurai","Samurái"
"Traje 04","Outfit 04",
"Traje 05","Outfit 05",
"Itens de Recuperação","Recovery items","Objetos de recuperación"
"Espada de Uma Mão","One-Handed Sword","Espada a una mano"
"Espada de Duas Mãos","Two-Handed Sword","Espada a dos manos"
"Lança","Spear","Lanza"
"Poder de Ataque","Attack Power","Poder de ataque"
" "," ",
"→","→","→"
"Poder Mágico","Magic Power","Poder mágico"
"Peso","Weight","Peso"
"Inventário","Inventory","Inventario"
"%","%"," %"
"Lv.","Lv.","Nv."
"Você não possui nenhum item utilizável.","You don't have any usable items.","No tienes objetos que puedas utilizar."
"""Coelho Saltitante""<LF>","""Leaping Rabbit""<LF>","""Conejo brincador""<LF>"
"""Lobo Corredor""<LF>","""Racing Wolf""<LF>","""Lobo corredor""<LF>"
"""Rato Evasivo""<LF>","""Evasive Mouse""<LF>","""Ratón escurridizo""<LF>"
"""Tartaruga Protegida""<LF>","""Protected Turtle""<LF>","""Tortuga guarecida""<LF>"
"""Tigre com Garras""<LF>","""Blade-Wielding Tiger""<LF>","""Tigre con garras""<LF>"
"""Morcego Disparador de Magia""<LF>","""Magic-Spewing Bat""<LF>","""Murciélago lanzador de magia""<LF>"
"""Coruja Imóvel""<LF>","""Stationary Owl""<LF>","""Búho estático""<LF>"
"""Macaco Esquecido""<LF>","""Time-Forgetting Monkey""<LF>","""Mono desmemoriado""<LF>"
" "," "," "
"Nier","Nier","Nier"
"Digite seu nome.","Please enter your name.","Escribe tu nombre."
"Qual é o nome da pessoa que eu mais gosto?","What's the name of the person I really like?","¿Cómo se llama mi persona favorita?"
"Qual é a minha comida favorita?","What's my favorite food?","¿Cuál es mi comida favorita?"
"Qual é o meu livro favorito?","What's my favorite book?","¿Cuál es mi libro favorito?"
"Qual é o meu lugar favorito?","What's my favorite place?","¿Cuál es mi lugar favorito?"
"Qual é a minha flor favorita?","What's my favorite flower?","¿Cuál es mi flor favorita?"
"Quem eu amo mais do que qualquer outra pessoa?","Who do I love more than anyone?","¿A quién quiero más que a nadie?"
"Hmm... Vejamos o que temos para hoje...","Hmm... What've we got today...","Vamos a ver qué trabajo tengo hoy para ti..."
"Qual trabalho devo te dar primeiro?","Which job should I give you first?","¿Qué trabajo te encargo primero?"
"Parece que não tenho nenhum trabalho para você agora. Volte quando estiver livre, está bem?","Doesn't look like I have any work for you right now. Come back next time you're free, okay?","Pues parece que ahora no tengo trabajo para ti. Vuelve a pasarte por aquí cuando estés libre, ¿vale?"
"Volte sempre que tiver um minuto livre.","Come back whenever you have a free minute.","Pásate por aquí cuando tengas un rato, ¿vale?"
"Eu marquei a localização do cliente no mapa, então, vá lá para saber mais detalhes.","I wrote down the client's location on your map, so head over there to get the details.","Te he marcado la ubicación del cliente en el mapa, así que ve hacia allí para que te informe de los detalles."
"Espere, você não tem um mapa? Ah, tudo bem. Basta pedir os detalhes ao cliente.","Wait, you don't have a map? Ah, well. Just ask the client for the details.","Espera, ¿no tienes un mapa? Ah, vaya. Bueno, solo tienes que preguntarle al cliente por los detalles."
"Ah, você quer um trabalho diferente?","Oh, you want a different job?","Ah, ¿quieres otro trabajo diferente?"
"Acho que a Popola continua com aquele maldito resfriado. <LF>Você pode dar uma olhada nela pra mim?","I think Popola's still suffering from that stupid cold. <LF>Can you go check on her for me?","Creo que Popola aún sigue con ese resfriado puñetero. <LF>¿Puedes ir de mi parte a ver cómo está?"
"Ei, o guarda do portão precisa entregar uma de mensagem.<LF>O coitado nunca sai do posto, você pode ajudá-lo?","Hey, the gatekeeper needs some kind of message delivered.<LF>Poor guy never leaves his post, so maybe you can help him out?","Oye, el guardián necesita entregar una especie de mensaje.<LF>El chico nunca abandona su puesto, ¿podrías ayudarle?"
"Popola disse que tinha um trabalho para você.<LF>Ela não vive sem você, né!","Popola said she's got a job for you.<LF>She really depends on you, doesn't she!","Popola dijo que tenía un trabajo para ti.<LF>Desde luego, ¡no puede pasar sin ti!"
"Parece que um morador tem um trabalho pra você. É sobre galinhas, ou... algo assim?<LF>Não sei, detalhes me entediam. De qualquer forma, basta perguntar ao cliente por mais informações.","Seems there's a villager with a job for you. It's about chickens, or...something?<LF>I don't know, details bore me. Anyway, just go ask the client for more info.","Al parecer, un aldeano tiene un trabajo para ti. La cosa va de gallinas... o algo así.<LF>No lo sé, los detalles me aburren. En fin, dile al cliente que te informe."
"Rapaz, as moças não te deixam em paz! Ouvi dizer que estão querendo sua ajuda.<LF>Parece que é alguma coisa com um carneiro.","Boy, the ladies just can't get enough of you! I hear another one's looking for help.<LF>Something to do with mutton, I think?","Chico, ¡las mujeres no te dejan en paz! He oído que hay otra en busca de ayuda.<LF>Algo relacionado con un carnero, al parecer."
"Parece que a florista está procurando ajuda.<LF>Acho que ela precisa de algo de Beira-Mar.","Seems like the florist is looking for help.<LF>I guess she needs something from Seafront.","Se ve que la florista está buscando ayuda.<LF>Me parece que necesita algo de Ciudad Costera."
"Ouvi dizer que alguém precisa de ajuda para organizar uns livros.<LF>Popola tá ocupada demais para cuidar disso. Poderia dar uma ajuda?","I heard someone needs help organizing books.<LF>Popola's too busy to handle it herself, so do you mind helping out?","He oído que alguien necesita ayuda para organizar unos libros.<LF>Popola está demasiado liada para encargarse, ¿te importaría echar una mano?"
"A dona da taberna precisa de ajuda.<LF>Ela é aquela moça cuja vó é meio doidinha.","The lady who runs the tavern needs some help.<LF>She's the one with the really strung-out grandmother.","La señorita que se encarga de la taberna necesita ayuda.<LF>Es esa chica que tiene una abuela que está como una cabra."
"Parece que alguém está com problemas.<LF>A cozinha foi toda incendiada.","Sounds like someone's got a problem on their hands.<LF>They lost their cookware to a fire.","Se ve que alguien tiene un buen problema.<LF>¡Han quemado la cocina hasta los cimientos! Qué pocas luces..."
"A florista tem um pedido.<LF>Ela precisa de algumas compras.","Sounds like the florist needs some shopping done.","La florista tiene una petición.<LF>Parece que necesita que le hagan unas compras."
"Um... Bem, isso é um pouco estranho. É da Yonah.<LF>Vá para casa e verifique como ela está, ok? Acho que ela está sozinha.","Um... Well, this is a little weird. It's from Yonah.<LF>Go home and check on her, will you? I think she's lonely.","Mmm... Bueno, esto es un poco raro. Es de parte de Yonah.<LF>Vuelve a casa y échale un ojo, ¿vale? Creo que se siente sola."
"Alguém quer que você colete um item de Aerie.<LF>Peça mais detalhes ao cliente, confesso que nessa parte eu dormi.","Someone wants you to collect an item from The Aerie.<LF>Yeah, go ask the client for more details. I kind of dozed off during that part.","Alguien quiere que consigas un objeto de Nido del Águila.<LF>Pregúntale los detalles al cliente, a mí me venció el sueño en esa parte."
"Um pacote precisa ser entregue em Aerie.<LF>Um tipo de compensação, uma dívida de honra ou... não sei. Algo assim.","There's a parcel that needs to be delivered to The Aerie.<LF>Some kind of repayment or honor debt or...you know. Something.","Hay un paquete para entregar en Nido del Águila.<LF>Una especie de compensación, deuda de honor o... yo qué sé. Algo así."
"Há uma mulher precisando de ajuda para consertar seu moinho de água.<LF>Poderia ajudá-la?","I've got a request from a woman who needs parts to repair the waterwheel.<LF>Maybe you can help her out?","Tengo una petición de una mujer.<LF>Creo que necesita reparar su molino de agua. ¿Podrías ayudarla?"
"A fonte na praça da vila parece estar com defeito.<LF>Será que você poderia dar uma olhada? Por favor? Por mim?","Apparently, the fountain in the village square is breaking down.<LF>Think you could go check it out? Please? For me?","Por lo visto, la fuente de la plaza de la aldea está averiada.<LF>¿Crees que podrías echarle un vistazo? ¿Porfa? ¿Lo harías por mí?"
"Tenho outro pedido aqui.<LF>É um pacote frágil que precisa ser levado pra Beira-Mar.","I've got another delivery request here.<LF>Something about a fragile parcel that needs to go to Seafront.","Tengo otra petición por aquí.<LF>Un paquete frágil que hay que llevar a Ciudad Costera."
"Um velhote em Beira-Mar está querendo uma ajuda...<LF>Desculpa, mas é tudo o que sei. Ah, e ele disse que te conhece.","An old-timer in Seafront is looking for help.<LF>...Sorry, but that's all I got. Oh, and he said he knows you.","Un viejales de Ciudad Costera busca ayuda.<LF>Lo siento, pero eso es todo lo que sé. Ah, y dice que te conoce."
"Aquele velho pescador tem outro trabalho para você.<LF>Vocês estão ficando bem próximos, hein?","That old fisherman's got another job for you.<LF>You guys are getting pretty close, huh?","Ese viejo pescador tiene otro trabajo para ti.<LF>Os estáis volviendo muy amigos, ¿eh?"
"Um construtor naval em Beira-Mar precisa de materiais para um reparo.<LF>Que tal dar uma olhada?","A shipbuilder in Seafront needs materials for a repair job.<LF>Why don't you go check it out?","Un constructor de barcos de Ciudad Costera necesita ayuda.<LF>Le hacen falta materiales para un trabajo de reparación. ¿Por qué no te pasas y echas un vistazo?"
"O velho pescador tem outro pedido.<LF> Não sabia que você gostava tanto de peixe!","The old fisherman has another request.<LF>I had no idea you liked fish so much!","El pescador viejales tiene otra petición.<LF>¡No tenía ni idea de que te gustase tanto pescar!"
"Aquele pescador em Beira-Mar voltou com mais trabalho.<LF> Aliás, como anda a pesca? Você deve estar melhorando!","That fisherman in Seafront's back with more work.<LF>How's the fishing going, anyway? You must be getting good!","El pescador de Ciudad Costera vuelve con otro trabajo.<LF>¿Qué tal te va con la pesca? ¡Seguro que estás mejorando!"
"Adivinha? ... Vamos, adivinha! ... Tá bom, é outro trabalho do pescador.<LF> Pelo menos não vai faltar peixe para você comer.","Guess what? ...C'mon, guess! ...Fine, it's another job from the fisherman.<LF>Hey, at least you'll have plenty of fish to eat.","Adivina qué... Venga, ¡adivínalo! Bueno, vale, es otro trabajo del pescador.<LF>Al menos, te vas a poner morado a pescado."
"O velho pescador precisa de você novamente.<LF>É bom ver você tendo tanto interesse pelos idosos.","The old fisherman needs you again.<LF>It's good to see you taking such an interest in the elderly.","El pescador te necesita otra vez.<LF>Me alegra ver que te interesas tanto por las personas mayores."
"De novo? Bingo!—O pescador de Beira-Mar voltou.<LF>Tenha cuidado lá fora. Não vá fisgar o pobre Weiss.","Again? You guessed it—the Seafront fisherman's back.<LF>Be careful out there. You wouldn't want to hook poor Weiss.","¿Otra vez? Sí, lo has adivinado: ha vuelto el pescador de Ciudad Costera.<LF>Ten cuidado por ahí. No querrás clavarle el anzuelo al pobre Weiss."
"Surpresa, surpresa. O velho pescador tá te chamando...<LF>Blá blá blá, certo? Você já sabe do que se trata.","Surprise, surprise. The old fisherman's calling...<LF>Blah blah blah, right? You know the deal by now.","Menuda sorpresa. El viejo pescador te requiere...<LF>Bla, bla, bla, ¿entendido? Ya sabes de qué va la cosa."
"O pescador de Beira-Mar disse que esse próximo trabalho pode custar as vidas de vocês dois!<LF>Acho que tem um pouco de drama nisso, mas ainda é assustador.","The Seafront fisherman said this next job could cost both of you your lives!<LF>I figure he's just being melodramatic, but it's still kinda spooky.","¡El pescador de Ciudad Costera ha dicho que el próximo trabajo os podría costar la vida a los dos!<LF>Supongo que solo quería ser melodramático, pero aun así da algo de miedo."
"Olá! A taberna de Beira-Mar precisa de ajuda.<LF>Aposto que eles têm umas iguarias incríveis por lá!","Heya! The Seafront tavern's in need of assistance.<LF>I bet they've got quite a selection over there!","¡Hola, hola! La taberna de Ciudad Costera necesita ayuda.<LF>A lo mejor debería encargarme yo de esto. ¡Seguro que tienen unos manjares increíbles!"
"O dono da taberna em Beira-Mar quer falar contigo sobre um novo prato. Tá ficando famosinho, hein!","The tavern keeper in Seafront wants to talk to you about a new dish. You're really becoming quite the little celebrity.","El tabernero de Ciudad Costera quiere hablarte de un plato nuevo.<LF>¡Te estás volviendo toda una celebridad!"
"Entrega especial! Daqui, direto para Facade. De boa?<LF>A propósito, como você vai entrar naquele lugar?","Special delivery! From you, to Facade. Sound good?<LF>By the way, how'd you even get in that place?","¡Entrega especial! Desde tus manos, hasta Fachada. ¿Te parece?<LF>Por cierto, ¿cómo vas a entrar allí?"
"Estou com um trabalho de Facade que acabou de sair do forno!<LF>Dá para ver que você conhece muitas pessoas, não é mesmo? Você é uma celebridade, <NIER>!","I've got a job from Facade, fresh off the grill!<LF>You certainly know a lot of people, don't you? You're a real mover and shaker, <NIER>!","¡Tengo un trabajo de Fachada recién salido del horno!<LF>Hay que ver la de gente que conoces, ¿eh? ¡Eres una celebridad, <NIER>!"
"Alguém de Facade pediu sua ajuda. ... É difícil lidar com eles? Porque parecem tão estranhos...","Someone in Facade asked for your help.<LF>...Are they tough to deal with? Because they seem like total weirdos.","Alguien en Fachada necesita tu ayuda.<LF>¿Los de allí son difíciles de tratar? Porque parecen rarísimos."
"Facade precisa de ajuda novamente.<LF>O Rei precisa de materiais para alguma coisa... Tratando-se do Rei, é melhor você ir agora!","Facade's looking for help again.<LF>The king needs materials for something. ...And he's a king, so you better hop to it!","Fachada busca ayuda de nuevo.<LF>El rey necesita materiales para algo... Y un rey es un rey, ¡así que ponte manos a la obra!"
"Espera, mas que diabos? Sério? Ok, então... <LF>Aparentemente, alguém em Facade quer que você ajude a salvar seu casamento.","Wait, what the heck? Seriously? Okay, so...<LF>Apparently someone in Facade wants you to fix his broken marriage.","Pero ¿qué puñetas?<LF>Vale... Al parecer, alguien de Fachada quiere que le ayudes a salvar su matrimonio."
"Um morador de Facade está procurando ajuda.<LF>Tem a ver com flores ou algo assim.","A Facade resident is looking for help.<LF>It's about flowers, or something like that.","Un ciudadano de Fachada busca ayuda.<LF>La cosa va de flores o algo así."
"O dono da taberna em Beira-Mar precisa da sua ajuda.<LF>Acho que ele está procurando comida de novo... O cara deve estar com muita fome!","The tavern keeper in Seafront needs your help.<LF>I think he's looking for food again. ...Guy must be really hungry!","El tabernero de Ciudad Costera necesita tu ayuda.<LF>Creo que está buscando comida otra vez. ¡Debe pasar mucha hambre!"
"Quer ajudar o ferreiro da vila?<LF>Hmm... Não tenho muita informação. O pedido não é muito específico.","Wanna help out the village blacksmith?<LF>Um...I don't have much. The request is a bit vague.","¿Quieres echarle una mano al herrero de la aldea?<LF>Mmm... No sé mucho más. La petición no es muy concreta."
"Tenho um pedido do governo de Facade!<LF>Você parece ser o embaixador do povo!","I got a request from the government of Facade!<LF>You're like our town's ambassador or something!","¡Tengo una petición del gobierno de Fachada!<LF>¡Parece que fueras el embajador del pueblo!"
"Ah, Yonah tá procurando ajuda.<LF>É melhor dar prioridade absoluta a isso, senhor!","Oh hey, Yonah's looking for help.<LF>Better make it a top priority, mister!","Eh, mira. Yonah busca ayuda.<LF>¡Más vale que sea tu máxima prioridad, amigo!"
"Um morador de Beira-Mar tem uma carta que ele quer que você entregue. <LF>Talvez você deva bancar o carteiro.","A Seafront resident has a letter for you to deliver.<LF>Maybe you should just become a postman?","Un habitante de Ciudad Costera tiene una carta que quiere que entregues.<LF>¿Podrías hacer de cartero?"
"Alguém perdeu um cachorro... <LF>Nenhum trabalho é pequeno demais, né?","Someone lost their dog.<LF>...No job too small, huh?","Alguien ha perdido a su perro.<LF>No hay trabajo insignificante, ¿verdad?"
"Um cara em Beira-Mar quer se tornar um grande comerciante. <LF>Se é isso que ele quer, que seja! Ele está esperando por você no porto.","Some guy in Seafront wants to become a big-time trader.<LF>Whatever works, I guess. He's waiting by the port over there.","Un tipo de Ciudad Costera quiere convertirse en un comerciante famoso.<LF>Si a él le hace ilusión, pues nada. Te está esperando en el puerto."
"Ouvi que um pai quer que você siga o filho dele. <LF>É um pouco estranho, porque o garoto é, na verdade, um homem adulto.","I heard from a man who wants you to track down his son.<LF>It's a little weird, though, 'cause the kid is actually a grown man.","He oído que hay un hombre que quiere que sigas a su hijo.<LF>La verdad es que es un poco raro. El niño es un hombre de pelo en pecho."
"Ah, irmão. Essa é das boas. <LF>Um cara quer presentear uma mulher e precisa da sua ajuda.","Oh, brother. This one's rich.<LF>Some guy wants to give a gift to a woman, and he needs your help.","¡Ahí va! Esta es buena.<LF>Un tipo quiere darle un regalo a una mujer y necesita tu ayuda."
"Uma pobre menina desapareceu em Facade. <LF>Acho que você deve ir lá ajudá-los imediatamente.","Some poor girl's gone missing in Facade.<LF>You should get over there right away and help them out.","Tengo un trabajo urgente en Fachada.<LF>¡Una pobre chiquilla se ha perdido! Deberías ir para allá ahora mismo y echarles una mano."
"Facade precisa que você acabe com alguns bandidos. <LF>Já estava na hora de te darem um trabalho de verdade!","Facade needs you to put the hurt on some bandits. <LF>It's about time they gave you some real work!","Fachada tiene una petición.<LF>Al parecer, necesitan que te encargues de unos bandidos. ¡Ya era hora de que te diesen trabajo de verdad!"
"Quer ir para Beira-Mar? Recebi um pedido de uma senhora lá.<LF>Na verdade tá mais pra uma exigência... Quem me dera mandar nas pessoas assim!","Wanna go to Seafront? I've got a request from a lady there.<LF>Actually, it's more like a demand. ...Wish I could boss people around like this!","¿Quieres ir a Ciudad Costera? Tengo una petición de una señora de allí.<LF>Bueno, más bien es una orden. ¡Ojalá yo pudiera mangonear así a la gente!"
"Parece que uma viajante em Beira-Mar tá procurando por algo.<LF>Por que não vai lá ver o que ela quer?","Seems like there's a traveler in Seafront who's searching for something. <LF>Why don't you go see what she wants?","Parece que hay una viajera en Ciudad Costera que está buscando algo. <LF>¿Por qué no vas a ver qué quiere?"
"Adivinha? Outro trabalho de Facade.<LF>Um cara jovem... E é só isso que sei.","Guess what? It's another job from Facade.<LF>Some young man. ...And that's all I know.","¿Sabes qué? Hay otro trabajo de Fachada.<LF>De un muchacho... Y eso es todo lo que sé."
"Recebi um pedido aqui de um comerciante que tá tendo problemas com ladrões.<LF>Ladrões desgraçados! Vai lá ""dialogar"" com eles!","Got a request here from a shopkeeper who's having trouble with thieves.<LF>...Stupid thieves! Go give 'em what-for!","Hay una petición de un comerciante. Por lo visto, tiene problemas con unos ladrones.<LF>¡Estúpidos ladrones! ¡Dales una buena paliza!"
"Aquele comerciante em Beira-Mar tem outro pedido.<LF>Bom, ele tá mais para um aspirante a comerciante, eu acho. Ele vai te dar mais detalhes.","That trader in Seafront has another request.<LF>Well, he's more of a would-be trader, I guess. ...Anyway, he can fill you in.","El comerciante de Ciudad Costera tiene otra petición.<LF>Bueno, más bien es un aspirante a comerciante... En fin, él te pondrá al día."
"A esposa de um dos lojistas da vila precisa de ajuda. Acho que o filho dela está muito doente.<LF> ...Não preciso pedir duas vezes, né?","The wife of one of the village shopkeepers needs help. I guess her kid is really sick. <LF>...I probably don't need to ask you twice about this one, huh?","La esposa de uno de los tenderos de la aldea necesita ayuda. Creo que tiene un hijo muy enfermo.<LF>No es necesario que te insista con este, ¿no?"
"Uma mulher aqui na vila está procurando pelo namorado.<LF>Ela deveria procurar sozinha! ... Mas ei, ela está pagando, então ficar quietinho.","There's a woman here in the village looking for her boyfriend.<LF>She should just go look for herself! ...But hey, she's paying, so I'll shut up.","Hay una mujer en la aldea que está buscando a su novio.<LF>¡Ya podría ir a buscarlo ella! Bueno, quien paga, manda, así que punto en boca."
"Parece que um homem está procurando por um talher muito peculiar.<LF>Ele disse que pagará o que for preciso. ... Uuui! Que emoção!","Seems there's a man looking for a rather unique piece of cutlery.<LF>He says he'll pay whatever it takes. ...Oooo! How exciting!","Por lo visto, hay un hombre buscando una pieza de cubertería única.<LF>Dice que pagará lo que haga falta... ¡Oooh! ¡Qué emocionante!"
"Consegui um trabalho de Beira-Mar, se não estiver muito ocupado.<LF>É um cara... procurando por algo... Olha, vá perguntar a ele, tudo bem?","Got a job from Seafront if you aren't too busy.<LF>It's a guy... Looking for something... Look, just go ask him, all right?","Tengo un trabajo en Ciudad Costera, si no estás muy liado.<LF>Es para un chico. Busca algo. Mira... Pregúntale mejor a él, ¿vale?"
"O mordomo da mansão precisa da sua ajuda.<LF>Você anda com umas pessoas estranhas, com certeza...","That butler from the manor needs your help.<LF>You sure do keep some strange company...","El mayordomo de la mansión necesita tu ayuda.<LF>Menudas compañías tan raras te buscas..."
"As Sombras estão na vila? Aaaah!<LF>E aí!? Não fica parado! Vá cuidar deles!","Apparently there're Shades in the village? Eeeek!<LF>Well!? Don't just stand there! Go take care of 'em!","¿Hay Sombras en la aldea? ¡Aaaah!<LF>¡¿Qué?! ¡No te quedes ahí! ¡Ve a encargarte de ellas!"
"O florista em Beira-Mar tem um trabalho para você.<LF>Apenas uma entrega simples. Moleza.","The florist in Seafront has a job for you.<LF>Just a simple delivery. Easy-peasy.","El florista de Ciudad Costera tiene un trabajo para ti.<LF>Es una entrega, sin más. Pan comido."
"Alguém na Floresta dos Mitos queria sua ajuda.<LF>Estranho—eu raramente recebo pedidos desse lugar.","Someone in the Forest of Myth wanted your assistance.<LF>Strange—I hardly ever get requests from that place.","Alguien en el Bosque de las Leyendas quiere ayuda.<LF>Es el primer trabajo que me llega desde allí en... Bueno, el primero que yo recuerde."
"Um aldeão foi atacado por Sombras nas planícies do norte.<LF>Pode ir falar com ele sobre? Talvez devêssemos investigar.","A villager was attacked by Shades in the northern plains.<LF>Can you go ask him about it? It may be something we should look into.","Las Sombras han atacado a un aldeano en las llanuras del norte.<LF>¿Puedes ir a preguntarle? A lo mejor deberíamos investigarlo."
"Um carteiro quer que você se livre de algumas Sombras.<LF>Tá ficando bastante perigoso por aqui ultimamente.","A postman wants you to get rid of some Shades.<LF>It's getting pretty dangerous around here lately.","Un cartero quiere que te encargues de unas Sombras.<LF>Esto se está poniendo muy peligroso últimamente."
"Aparentemente, o mordomo da mansão tem uma Sombra ""única"" e quer conselhos sobre ela.<LF>É, nem olha pra mim.","Apparently the manor's butler has a ""unique"" Shade he wants your advice on.<LF>Yeah, don't look at me.","Al parecer, el mayordomo de la mansión dice que quiere tu consejo sobre una Sombra ""única"".<LF>En fin, a mí no me mires..."
"Ei, um estudioso em Beira-Mar perguntou sobre você.<LF>Acho que ele precisa de ajuda com uma pesquisa histórica.","Hey, there's a scholar in Seafront who asked about you.<LF>I guess he needs help with historical research?","Oye, hay un erudito de Ciudad Costera que preguntó por ti.<LF>¿Será que quiere ayuda con una investigación histórica?"
"Outro cara em Facade queria sua ajuda com alguma coisa.<LF>Vou te contar, se não fosse por você, aquela cidade desapareceria.","Another guy in Facade wanted your help with something.<LF>I tell ya, if it wasn't for you, that whole city would just fall apart.","Otro tipo de Fachada quería que le ayudases con algo.<LF>Ya te digo yo que, si no fuera por ti, esa ciudad se caía a pedazos."
